# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP.,EXP Y/N,Score,Open BACK ODDS,SUCCESS,WON B/L,Goals (minutes)
0,4,41733,UJPEST,0,FERENCVAROS,0,3.43,0,1,1.9,0,0,"23, 4, 87"
0,5,41733,CRETEIL,0,LAVAL,0,3.14,0,Apr-00,2.06,0,0,"19, 3, 34, 5"
0,6,41733,WILLEM II,0,0,0,3.02,0,3,1.56,0,0,"90, 34, 3, 68"
0,8,41733,HEIST,0,WESTERLO,0,3.47,0,5,1.78,0,0,"79, 13, 89"
0,11,41734,AUGSBURG,0,1,0,3.13,1,4,1.7,3,1,31
0,12,41734,BREMEN,0,2,0,3.15,1,7,1.6,2,1,"33, 15"
0,13,41734,VFB STUTTGART,0,FREIBURG,0,3.21,1,8,1.74,3,1,"89, 69"
0,14,41734,COVENTRY,0,MK DONS,0,3.57,0,1,1.95,2,0,"39, 66, 57"
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,1.8,2,0,"57, 93, 84, 86, 69, 2, 30"
0,16,41734,ST. MIRREN,0,MOTHERWELL,0,3.01,0,9,1.72,2,0,"42, 86, 17, 27, 87"
0,17,41734,FALKIRK,0,COWDENBEATH,0,3.17,0,10,1.68,2,0,"54, 40, 16, 28, 48"
0,18,41734,PSG,0,REIMS,0,3.41,0,11,1.69,2,0,"43, 48, 89"
0,19,41734,OLIVEIRENSE,0,BENFICA B,0,4.3,0,1,1.77,2,0,"34, 26, 52"
0,20,41734,STURM GRAZ,0,ADMIRA,0,3.41,1,7,1.76,2,1,"43, 65"
0,21,41734,ZADAR,0,DINAMO ZAGREB,0,3.11,0,1,1.79,2,0,"4, 38, 70"
0,22,41734,DEBRECEN,0,GYOR,0,3.07,0,0,1.73,2,0,"25, 22, 60"
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,1.89,2,0,"24, 78, 78, 89, 7"
0,24,41734,FERREIRA,0,SPORTING,0,3.19,0,12,2.06,2,0,"66, 14, 33, 54"
0,25,41735,BASEL,0,3,0,3.03,1,13,1.69,3,1,0
0,26,41735,JIHLAVA,0,MLADA BOLESLAV,0,3.1,0,6,2.01,2,0,"33, 61, 64"
0,27,41735,WEST HAM,0,LIVERPOOL,0,3.42,0,1,1.7,2,0,"71, 44, 47"
0,28,41735,PANATHINAIKOS,0,LEVADIAKOS,0,3.33,0,3,1.49,2,0,"63, 41, 39, 77"
0,29,41735,PARMA,0,NAPOLI,0,3.08,1,4,1.92,3,1,55
