Index,genres
168,"Thriller,  Action,  Science Fiction"
276," Drama,  Mystery, Action,  Science Fiction,  Adventure"
330,"Drama,  Crime"
336,"Animation,  Science Fiction,  Family,  Action"
386,"Action,  Crime"
392," Adventure,  Drama,  Action,  Comedy, Fantasy"
687,"Action,  Crime,  Thriller"
727,"Fantasy,  Action,  Thriller,  Crime"
764," Thriller,  Fantasy, Action"
784,"Adventure,  Action,  Fantasy"
825," Thriller, Crime,  Drama"
833," Thriller,  Drama, Action"
914," Crime,  Drama, Comedy"
921,"Drama,  Action,  War,  History"
1033," Thriller,  Drama,  Crime, Action"
1224," Animation,  Comedy,  Fantasy,  Family, Adventure"
1280," Crime, Thriller"
1346," Drama, Crime,  Thriller"
1390," Drama, Comedy"
1473," Adventure,  Animation, Fantasy,  Comedy,  Family"
1509," History, Drama,  Thriller"
1568," Mystery,  Action,  Thriller, Adventure"
1675," Mystery,  Adventure,  Thriller, Action"
1683," Fantasy, Thriller,  Action,  Horror"
1722," Thriller, Action,  Science Fiction"
1818," Crime,  Thriller, Action"
1838,"Comedy,  Romance,  Drama,  Fantasy"
