Index,genres
1280, Crime
392, Adventure
1033, Thriller
168,Thriller
1838,Comedy
330,Drama
276, Drama
784,Adventure
1675, Mystery
386,Action
1722, Thriller
1346, Drama
1818, Crime
1568, Mystery
784, Action
825, Thriller
764, Thriller
276, Mystery
276,Action
764, Fantasy
1683, Fantasy
833, Thriller
392, Drama
1224, Animation
1390, Drama
1683,Thriller
392, Action
914, Crime
1346,Crime
1033, Drama
336,Animation
330, Crime
1224, Comedy
764,Action
276, Science Fiction
1818, Thriller
168, Action
833, Drama
1473, Adventure
1509, History
1473, Animation
727,Fantasy
1033, Crime
336, Science Fiction
168, Science Fiction
687,Action
276, Adventure
1568, Action
1473,Fantasy
336, Family
921,Drama
914, Drama
1838, Romance
1033,Action
1675, Adventure
1509,Drama
1722,Action
1683, Action
1280,Thriller
1390,Comedy
921, Action
1838, Drama
1509, Thriller
1568, Thriller
1346, Thriller
727, Action
1568,Adventure
1675, Thriller
687, Crime
727, Thriller
1818,Action
392, Comedy
392,Fantasy
1473, Comedy
784, Fantasy
1683, Horror
833,Action
1224, Fantasy
336, Action
921, War
1473, Family
687, Thriller
825,Crime
825, Drama
1224, Family
1675,Action
921, History
727, Crime
1224,Adventure
914,Comedy
386, Crime
1838, Fantasy
1722, Science Fiction
