Column1,Aliases,"Hardy
Through
Zone",Heat,Drought,Shade,Flood,"Low
Fert","Growth
Habit",Median,+/-
Oats,spring oats,8,1,1,1,2,2,0,6.0,1.5
Mustards, oriental,0,1,3,2,1,1,0,6.5,1.0
Field peas,winter peas,0,3,2,1,1,1,2,6.5,0.5
Mustards, white,0,1,3,2,1,1,0,6.5,1.0
Sorghum–sudangrass,Sudax,1,2,4,2,2,2,0,6.5,0.5
Rapeseed, canola,0,3,2,2,1,1,0,6.75,1.25
Radish, forage,6,2,1,2,1,2,0,6.75,0.75
Crimson clover,NaN,0,1,1,3,1,2,0,6.75,1.25
Cowpeas, southern peas,1,2,3,2,1,4,2,6.0,0.5
Buckwheat,NaN,1,1,0,1,1,1,1,6.0,1.0
White clover,white dutch ladino,2,1,2,3,3,2,3,6.5,0.5
Cereal rye,winter or grain rye,3,1,3,3,2,4,0,6.0,1.0
Radish, Daikon,6,2,1,2,1,2,0,6.75,0.75
Medics,NaN,2,2,3,3,1,2,3,6.5,0.5
Berseem clover,Bigbee,7,3,2,3,2,2,1,6.6,0.4
Subterranean clover,subclover,0,1,3,3,2,4,3,6.25,0.75
Annual ryegrass,Italian ryegrass,6,1,1,3,3,1,0,6.5,0.5
