Column1,"Hardy
Through
Zone",Heat,Drought,Shade,Flood,"Low
Fert","Growth
Habit",Median,+/-,Aliases
Annual ryegrass,6,1,1,3,3,1,0,6.5,0.5,Italian ryegrass
Berseem clover,7,3,2,3,2,2,1,6.6,0.4,Bigbee
Buckwheat,1,1,0,1,1,1,1,6.0,1.0,NaN
Cereal rye,3,1,3,3,2,4,0,6.0,1.0,winter or grain rye
Cowpeas,1,2,3,2,1,4,2,6.0,0.5, southern peas
Crimson clover,0,1,1,3,1,2,0,6.75,1.25,NaN
Field peas,0,3,2,1,1,1,2,6.5,0.5,winter peas
Medics,2,2,3,3,1,2,3,6.5,0.5,NaN
Mustards,0,1,3,2,1,1,0,6.5,1.0," oriental,  white"
Oats,8,1,1,1,2,2,0,6.0,1.5,spring oats
Radish,6,2,1,2,1,2,0,6.75,0.75," forage,  Daikon"
Rapeseed,0,3,2,2,1,1,0,6.75,1.25, canola
Sorghum–sudangrass,1,2,4,2,2,2,0,6.5,0.5,Sudax
Subterranean clover,0,1,3,3,2,4,3,6.25,0.75,subclover
White clover,2,1,2,3,3,2,3,6.5,0.5,white dutch ladino
