Subtitle,Item ,Qty,Unit Price,Total Price
Fairview ,2,3.0,,
Jackson Center,3,1.0,,
Wright Brothers,2,3.0,,
Wright Brothers,,,2.0,
Gardendale,5,2.0,,
Wogaman,3,1.0,,
Ludlow I NOC,WS-X6716-10G-3C,1.0,,0.0
Ludlow I,3,1.0,,
World of Wonder,,,2.0,
Kemp PK-8,,,0.0,
Ludlow I NOC,4900M,3.0,,0.0
Transportation,3,1.0,,
Rosa Parks PK,,,0.0,
Thurgood Marshall,5,6.0,,0.0
Westwood,1,1.0,,
Valerie,3,1.0,,
River's Edge,WS-X4606-X2-E,4.0,,0.0
Transportation,0,1.0,,
Wogaman,0,1.0,,
Transportation,2,1.0,,
Cleveland,5,14.0,,
Edwin Joel Brown,,,,
Ruskin PK-8,2,2.0,,
Service Building,0,1.0,,
Horace Mann PK-8,2,2.0,,
Wright Brothers,4,13.0,,
Welcome Stadium,5,6.0,,
Gardendale,4,2.0,,
David H. Ponitz CTC,2,4.0,,
Wogaman,2,2.0,,
Jackson Center,5,10.0,,
Welcome Stadium,,,1.0,
Ruskin PK-8,0,1.0,,
Service Building,2,2.0,,
Longfellow Academy,4,14.0,,
Thurgood Marshall,,,,
Service Building,5,6.0,,
Westwood,4,10.0,,0.0
Belle Haven,1,1.0,,
David H. Ponitz CTC,,,0.0,
Jackson Center,2,2.0,,
Kiser,2,2.0,,
Meadowdale HS,,,2.0,
Thurgood Marshall,4,6.0,,0.0
Kemp PK-8,,,,
Edwin Joel Brown,0,1.0,,
Wright Brothers,5,13.0,,
Charity Adams,,,2.0,
Dunbar High School,4,6.0,,0.0
Louise Troy PK-8,4,12.0,,0.0
Ruskin PK-8,,,0.0,
Eastmont PK-8,,,2.0,
Ruskin PK-8,1,1.0,,
Ludlow I NOC,6,16.0,,0.0
Horace Mann PK-8,4,4.0,,0.0
Ludlow I NOC,WS-4908-10G-RJ45,6.0,,0.0
Meadowdale PK-8,,,,
Thurgood Marshall,0,1.0,,
Edwin Joel Brown,,,,
Transportation,,,1.0,
Kiser,3,1.0,,
Dayton Boys Prep Academy,4,19.0,,
Cleveland,4,14.0,,
Jackson Center,1,1.0,,
Gardendale,0,1.0,,
Kiser,,,0.0,
Ruskin PK-8,5,12.0,,0.0
Eastmont PK-8,2,3.0,,
Wogaman,5,14.0,,
River's Edge,SC-to-SC fiber patch cables,18.0,,0.0
Eastmont PK-8,4,16.0,,
Horace Mann PK-8,0,1.0,,
Horace Mann PK-8,,,0.0,
Edison PK-8,2,3.0,,
Thurgood Marshall,,,0.0,
Louise Troy PK-8,,,0.0,
Horace Mann PK-8,5,4.0,,0.0
David H. Ponitz CTC,4,8.0,,0.0
Stivers School for the Arts,2,2.0,,
World of Wonder,4,12.0,,
World of Wonder,2,3.0,,
Cleveland,,,0.0,
Kemp PK-8,1,1.0,,
Ruskin PK-8,4,12.0,,0.0
Horace Mann PK-8,,,,
Rosa Parks PK,2,3.0,,
Kiser,5,15.0,,
Service Building,1,1.0,,
Kiser,1,1.0,,
Fairview ,,,2.0,
Louise Troy PK-8,2,2.0,,
Kemp PK-8,5,12.0,,0.0
Dayton Boys Prep Academy,2,3.0,,
Westwood,2,2.0,,
Belle Haven,2,2.0,,
Meadowdale PK-8,,,2.0,
Dunbar High School,0,1.0,,
Edison PK-8,4,20.0,,
David H. Ponitz CTC,5,8.0,,0.0
Edwin Joel Brown,5,14.0,,0.0
Stivers School for the Arts,1,1.0,,
Ludlow I,0,1.0,,
Edwin Joel Brown,,,,
Louise Troy PK-8,0,1.0,,
Welcome Stadium,2,1.0,,
Charity Adams,2,2.0,,
Wogaman,4,14.0,,
Meadowdale PK-8,4,13.0,,
Longfellow Academy,2,2.0,,
Dunbar High School,,,,
Belle Haven,4,14.0,,
Service Building,4,6.0,,
Rosa Parks PK,0,1.0,,
Gardendale,3,1.0,,
Cleveland,0,1.0,,
Westwood,,,,
Ludlow I,,,,
Rosa Parks PK,1,1.0,,
Kiser,0,1.0,,
Dunbar High School,2,2.0,,
Ludlow I NOC,X2-10GB-T,18.0,,0.0
Dunbar High School,5,6.0,,0.0
Belle Haven,,,,
Louise Troy PK-8,5,12.0,,0.0
Kemp PK-8,4,12.0,,0.0
Jackson Center,0,1.0,,
Edwin Joel Brown,,,0.0,
Ludlow I,4,15.0,,
Wright Brothers,,,,
Stivers School for the Arts,,,0.0,
Cleveland,2,2.0,,
Ludlow I NOC,,,1.0,
Transportation,,,,
Edison PK-8,,,,
Welcome Stadium,3,1.0,,
Ludlow I,1,1.0,,
David H. Ponitz CTC,1,1.0,,
Horace Mann PK-8,1,1.0,,
