Item ,Qty,Unit Price,Total Price
Fairview ,,,
Jackson Center,,,
Wright Brothers,,,
2,3.0,,
Gardendale,,,
Wogaman,,,
Ludlow I NOC,,,
Ludlow I,,,
World of Wonder,,,
Kemp PK-8,,,
Ludlow I NOC,,,
Transportation,,,
Rosa Parks PK,,,
Thurgood Marshall,,,
Westwood,,,
Valerie,,,
River's Edge,,,
Transportation,,,
Wogaman,,,
Transportation,,,
Cleveland,,,
Edwin Joel Brown,,,
Ruskin PK-8,,,
Service Building,,,
Horace Mann PK-8,,,
Wright Brothers,,,
Welcome Stadium,,,
Gardendale,,,
David H. Ponitz CTC,,,
Wogaman,,,
Jackson Center,,,
Welcome Stadium,,,
Ruskin PK-8,,,
Service Building,,,
Longfellow Academy,,,
Thurgood Marshall,,,
Service Building,,,
Westwood,,,
Belle Haven,,,
David H. Ponitz CTC,,,
Jackson Center,,,
Kiser,,,
Meadowdale HS,,,
Thurgood Marshall,,,
Kemp PK-8,,,
Edwin Joel Brown,,,
Wright Brothers,,,
Charity Adams,,,
Dunbar High School,,,
Louise Troy PK-8,,,
Ruskin PK-8,,,
Eastmont PK-8,,,
Ruskin PK-8,,,
Ludlow I NOC,,,
Horace Mann PK-8,,,
Ludlow I NOC,,,
Meadowdale PK-8,,,
Thurgood Marshall,,,
Edwin Joel Brown,,,
Transportation,,,
Kiser,,,
Dayton Boys Prep Academy,,,
Cleveland,,,
Jackson Center,,,
Gardendale,,,
Kiser,,,
Ruskin PK-8,,,
Eastmont PK-8,,,
Wogaman,,,
River's Edge,,,
Eastmont PK-8,,,
Horace Mann PK-8,,,
0,1.0,,
Edison PK-8,,,
Thurgood Marshall,,,
Louise Troy PK-8,,,
Horace Mann PK-8,,,
David H. Ponitz CTC,,,
Stivers School for the Arts,,,
World of Wonder,,,
4,12.0,,
Cleveland,,,
Kemp PK-8,,,
Ruskin PK-8,,,
Horace Mann PK-8,,,
Rosa Parks PK,,,
Kiser,,,
Service Building,,,
Kiser,,,
Fairview ,,,
Louise Troy PK-8,,,
Kemp PK-8,,,
Dayton Boys Prep Academy,,,
Westwood,,,
Belle Haven,,,
Meadowdale PK-8,,,
Dunbar High School,,,
Edison PK-8,,,
David H. Ponitz CTC,,,
Edwin Joel Brown,,,
Stivers School for the Arts,,,
Ludlow I,,,
Edwin Joel Brown,,,
Louise Troy PK-8,,,
Welcome Stadium,,,
Charity Adams,,,
Wogaman,,,
Meadowdale PK-8,,,
Longfellow Academy,,,
Dunbar High School,,,
Belle Haven,,,
Service Building,,,
Rosa Parks PK,,,
Gardendale,,,
Cleveland,,,
Westwood,,,
Ludlow I,,,
Rosa Parks PK,,,
Kiser,,,
Dunbar High School,,,
Ludlow I NOC,,,
Dunbar High School,,,
Belle Haven,,,
Louise Troy PK-8,,,
Kemp PK-8,,,
Jackson Center,,,
Edwin Joel Brown,,,
Ludlow I,,,
Wright Brothers,,,
Stivers School for the Arts,,,
Cleveland,,,
Ludlow I NOC,,,
Transportation,,,
Edison PK-8,,,
Welcome Stadium,,,
Ludlow I,,,
David H. Ponitz CTC,,,
Horace Mann PK-8,,,
