Index,genres,imdb_score
4247, Thriller,7.5
3106, Comedy,6.9
2256, Comedy,7.8
2826,Comedy,7.2
2322,Comedy,7.5
1225,Action,6.4
1141, Thriller,6.4
1604,Drama,8.1
2108,Comedy,5.3
1338,Action,7.4
1216, Fantasy,5.9
618, War,6.3
947, Crime,7.1
252, Adventure,6.5
3549, Horror,5.6
637,Action,6.0
2040,Comedy,4.9
3413,Comedy,5.6
3631, Drama,7.0
2249,Drama,7.5
2868, Crime,6.7
3940,Crime,5.9
146, Animation,6.9
225, Thriller,7.1
1694, Thriller,6.7
8, Adventure,7.5
3133, Thriller,4.7
675, Horror,5.9
3553,Action,8.1
29, Sci-Fi,7.0
4862, Fantasy,7.0
2103, Thriller,6.6
2480, War,8.1
1592, Drama,7.8
2141, Sport,6.6
4208, Drama,6.8
2121,Comedy,5.8
216, Adventure,6.7
1494, Drama,6.0
2797,Action,4.4
2766,Action,5.5
673, Crime,6.6
4905,Crime,7.1
139, Comedy,7.3
1534, Thriller,6.5
4853, Romance,6.9
3485, Horror,7.2
790, Adventure,4.3
2571,Comedy,5.2
4007, Drama,7.0
916, Adventure,5.1
2163, Thriller,7.5
3121, Drama,5.6
1473,Crime,6.2
510, Adventure,5.8
4263, Drama,7.8
2736, Drama,6.8
3081,Comedy,6.5
3400, Musical,7.1
1330, Romance,7.1
2600, Comedy,7.3
914, Romance,6.3
3655, History,7.1
2106, Thriller,5.8
1548,Biography,7.2
1411, Thriller,7.3
3013,Action,5.6
3627,Drama,7.2
358, Family,7.0
4862,Animation,7.0
3025,Comedy,6.0
1036, Music,6.3
2522, Drama,3.0
1955, Comedy,5.1
360, Comedy,5.5
1934,Comedy,3.3
335, Comedy,6.6
2576,Comedy,6.0
2527,Comedy,5.5
548, Adventure,7.3
572,Comedy,4.6
936, Thriller,7.1
2254,Animation,6.4
2854, Family,5.9
3065, Romance,5.1
1865, Mystery,7.5
475, Adventure,5.1
2278, Drama,6.6
2801,Adventure,5.4
4247,Action,7.5
193, Drama,5.8
4298, Comedy,6.7
924, Family,5.6
2274, Thriller,6.2
1642, Musical,7.4
4601, Drama,6.1
554,Action,6.1
3471, Thriller,4.9
4207, Thriller,5.9
1757, Music,6.7
1432, Thriller,6.6
2153, Family,6.6
2128, Comedy,6.5
2224, Family,5.8
634, Comedy,5.6
772, Drama,7.4
1748, Crime,7.9
3201,Comedy,6.3
211, Thriller,7.3
4278,Crime,5.3
706, Western,7.9
814, War,7.3
1414, Romance,5.9
3391, Horror,6.9
1208,Adventure,7.3
1515,Action,5.2
33,Adventure,6.5
2234, Horror,5.3
1811, Comedy,5.6
1998, Horror,2.9
4733,Biography,7.6
1030,Comedy,4.9
2984, Drama,5.0
878,Action,5.6
381,Action,6.2
2995,Drama,7.5
2325, Comedy,4.5
1611, Western,7.5
927, Fantasy,7.9
3826, Thriller,6.7
2685, Family,5.7
2527, Sci-Fi,5.5
395, Thriller,6.7
1877,Adventure,4.9
3550, War,8.2
2700, Sci-Fi,8.0
735, Romance,6.5
903, Romance,7.6
2253, Horror,7.3
1304,Action,5.9
52,Action,7.0
615, Thriller,5.4
2096,Biography,7.4
3061,Comedy,5.4
3285, Drama,6.7
2496, Crime,6.7
889,Drama,7.7
3185,Comedy,4.1
3493, Adventure,7.8
1047, Comedy,6.4
418, Thriller,6.0
3403,Comedy,7.2
2480,Drama,8.1
3286,Fantasy,6.5
2033, Crime,5.3
1892, Romance,7.8
3617,Comedy,4.6
1174, Western,6.3
929, Romance,6.9
266, Animation,5.4
1567, Musical,6.9
323, Animation,7.2
4710, Crime,5.6
1949, Mystery,6.4
2036, Fantasy,6.2
419, Animation,7.1
1370, Drama,5.7
45,Action,7.2
3781, Thriller,7.0
1146, Thriller,6.0
