Name,First Game,Venue (Permanent Seating),City,Most Recent Per Team Payout (+ Revenue Pool),Title Sponsor,Previous Name(s)
Sugar Bowl,1935,"Mercedes-Benz Superdome (73,208)","New Orleans (2005: Atlanta, Georgia†)","$4,000,000",Allstate,Sugar Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","Glendale, Arizona (1971–2005: Tempe, Arizona)","$4,000,000",PlayStation,Fiesta Bowl
Peach Bowl,1968,"Mercedes-Benz Stadium (71,000)","Atlanta, Georgia","$4,000,000",Chick-fil-A,Peach Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","Glendale, Arizona (1971–2005: Tempe, Arizona)","$4,000,000",PlayStation, Sunkist Fiesta Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","Glendale, Arizona (1971–2005: Tempe, Arizona)","$4,000,000",PlayStation, IBM OS/2 Fiesta Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","Pasadena, California (1942: Durham, North Carolina*)","$4,000,000",Northwestern Mutual,Tournament East-West football game; Rose Bowl
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","Arlington, Texas (1937–2008: Dallas, Texas)","$6,000,000 (as semifinal)",Goodyear, Mobil Cotton Bowl
Sugar Bowl,1935,"Mercedes-Benz Superdome (73,208)","New Orleans (2005: Atlanta, Georgia†)","$4,000,000",Allstate, USF&G Sugar Bowl
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","Arlington, Texas (1937–2008: Dallas, Texas)","$6,000,000 (as semifinal)",Goodyear,Cotton Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","Pasadena, California (1942: Durham, North Carolina*)","$4,000,000",Northwestern Mutual, Citi^
Orange Bowl,1935,"Hard Rock Stadium (75,540)","Miami Gardens, Florida (1934–1995, 1998: Miami, Florida)","$6,000,000 (as semifinal)",Capital One, FedEx Orange Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","Glendale, Arizona (1971–2005: Tempe, Arizona)","$4,000,000",PlayStation, BattleFrog Fiesta Bowl
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","Arlington, Texas (1937–2008: Dallas, Texas)","$6,000,000 (as semifinal)",Goodyear, SBC Cotton Bowl Classic
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","Arlington, Texas (1937–2008: Dallas, Texas)","$6,000,000 (as semifinal)",Goodyear, Southwestern Bell Cotton Bowl Classic
Peach Bowl,1968,"Mercedes-Benz Stadium (71,000)","Atlanta, Georgia","$4,000,000",Chick-fil-A, Chick-fil-A Peach Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","Glendale, Arizona (1971–2005: Tempe, Arizona)","$4,000,000",PlayStation, Fiesta Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","Glendale, Arizona (1971–2005: Tempe, Arizona)","$4,000,000",PlayStation, Vizio Fiesta Bowl
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","Arlington, Texas (1937–2008: Dallas, Texas)","$6,000,000 (as semifinal)",Goodyear, Cotton Bowl
Orange Bowl,1935,"Hard Rock Stadium (75,540)","Miami Gardens, Florida (1934–1995, 1998: Miami, Florida)","$6,000,000 (as semifinal)",Capital One,Orange Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","Pasadena, California (1942: Durham, North Carolina*)","$4,000,000",Northwestern Mutual, Vizio^
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","Glendale, Arizona (1971–2005: Tempe, Arizona)","$4,000,000",PlayStation, Tostitos Fiesta Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","Pasadena, California (1942: Durham, North Carolina*)","$4,000,000",Northwestern Mutual, Rose Bowl Game presented by: AT&T^
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","Pasadena, California (1942: Durham, North Carolina*)","$4,000,000",Northwestern Mutual, Sony PlayStation 2^
