Player Name,Year,Points
0,1993-94,"38, 30, 31"
0,1994-95,"34, 38, 33, 30"
1,1957-58,"36, 31, 35"
1,1958-59,"31, 31, 38, 35"
Don Peterson ,1980-81,47
Duane Anderson,0,38
Duane Anderson ,0,"30, 34"
Gary Greve,1956-57,"35, 30"
Jason Larson,2018-19,32
Jason Schuepbach    ,1995-96,34
Jordan Schultz,2004-05,32
Mark Emerson,1971-72,46
Mark Losby,2000-01,34
Matt Kleppe,1999-00,30
Max Meylor,2015-16,"30, 31"
Milt Bakken,1955-56,"34, 32, 39"
Pete Schmitt,2002-03,32
Tim Woller,1990-91,31
Todd May,1983-84,"32, 33, 31, 31"
