Title,Distributor(s),Release date (United States),Budget (millions),Box office gross(North America),Box office gross(Opening weekend (North America)),Box office gross(Worldwide)
Batman,Warner Bros.,"June 23, 1989",$35,"$251,188,924","$40,489,746","$411,348,924"
Batman & Robin,Warner Bros.,"June 20, 1997",$125,"$107,325,195","$42,872,605","$238,207,122"
Batman Begins,Warner Bros.,"June 28, 2005",$150,"$206,852,432","$48,745,440","$374,218,673"
Batman Forever,Warner Bros.,"June 16, 1995",$100,"$184,031,112","$52,784,433","$336,529,144"
Batman Returns,Warner Bros.,"June 19, 1992",$80,"$162,831,698","$45,687,711","$266,822,354"
Batman v Superman: Dawn of Justice,Warner Bros.,"March 25, 2016",$250,"$330,360,194","$166,007,347","$873,260,194"
Batman: Mask of the Phantasm,Warner Bros.,"December 25, 1993",$6,"$5,617,391","$1,189,975","$5,617,391"
Batman: The Killing Joke,Warner Bros.,"July 26, 2016",$3.5,"$3,775,000",,"$3,775,000"
Catwoman,Warner Bros.,"July 23, 2004",$100,"$40,202,379","$16,728,411","$82,102,379"
Constantine,Warner Bros.,"February 18, 2005",$100,"$75,976,178","$29,769,098","$230,884,728"
Green Lantern,Warner Bros.,"June 17, 2011",$200,"$116,601,172","$53,174,303","$219,851,172"
Jonah Hex,Warner Bros.,"June 18, 2010",$47,"$10,547,117","$5,379,365","$10,903,312"
Man of Steel,Warner Bros.,"June 14, 2013",$225,"$291,045,518","$116,619,362","$668,045,518"
Steel,Warner Bros.,"August 15, 1997",$16,"$1,710,972","$870,068","$1,710,972"
Suicide Squad,Warner Bros.,"August 5, 2016",$175,"$325,100,054","$133,682,248","$745,600,054"
Supergirl,TriStar Pictures,"November 21, 1984",$35,"$14,296,438","$5,738,249","$14,296,438"
Superman,Warner Bros.,"December 10, 1978",$55,"$134,218,018","$6,535,784","$300,218,018"
Superman II,Warner Bros.,"June 19, 1981",$54,"$108,185,706","$14,100,523","$108,185,706"
Superman III,Warner Bros.,"June 17, 1983",$39,"$59,950,623","$13,352,357","$59,950,623"
Superman IV: The Quest for Peace,Warner Bros.,"July 24, 1987",$17,"$15,681,020","$5,683,122","$15,681,020"
Superman Returns,Warner Bros.,"June 20, 2006",$204,"$200,081,192","$52,535,096","$391,081,192"
The Dark Knight,Warner Bros.,"July 18, 2008",$185,"$534,858,444","$158,411,483","$1,004,558,444"
The Dark Knight Rises,Warner Bros.,"July 20, 2012",$230,"$448,139,099","$160,887,295","$1,084,939,099"
The Lego Batman Movie,Warner Bros.,"February 10, 2017",$80,"$175,750,384","$53,003,578","$310,850,384"
The Losers,Warner Bros.,"April 23, 2010",$25,"$23,591,432","$9,406,348","$29,379,723"
The Return of Swamp Thing,Millimeter Films,"May 12, 1989",Unknown,"$192,816",Unknown,"$192,816"
V for Vendetta,Warner Bros.,"March 17, 2006",$54,"$70,511,035","$25,642,340","$132,511,035"
Watchmen,Warner Bros.,"March 6, 2009",$130,"$107,509,799","$55,214,334","$185,258,983"
Wonder Woman,Warner Bros.,"June 2, 2017",$149,"$383,576,840","$103,251,471","$768,876,840"
