Index,popularity,budget,revenue,original_title,release_year,genres
0,32.985763,150000000,1513528810,Jurassic World,2015,"Action, Adventure, Thriller"
1,28.419936,150000000,378436354,Mad Max: Fury Road,2015,"Action, Science Fiction, Adventure"
2,13.112507,110000000,295238201,Insurgent,2015,"Science Fiction, Thriller, Adventure"
3,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,2015,"Adventure, Action, Fantasy, Science Fiction"
4,9.335014,190000000,1506249360,Furious 7,2015,"Action, Thriller, Crime"
5,9.1107,135000000,532950503,The Revenant,2015,"Western, Drama, Adventure, Thriller"
6,8.654359,155000000,440603537,Terminator Genisys,2015,Thriller
7,7.6674,108000000,595380321,The Martian,2015,"Adventure, Drama"
8,7.404164999999999,74000000,1156730962,Minions,2015,"Adventure, Animation"
9,6.326804,175000000,853708609,Inside Out,2015,"Animation, Family"
10,6.200282,245000000,880674609,Spectre,2015,"Action, Adventure, Crime"
11,6.189369,176000003,183987723,Jupiter Ascending,2015,"Action, Adventure, Science Fiction"
12,6.118847,15000000,36869414,Ex Machina,2015,"Science Fiction, Drama"
13,5.984995,88000000,243637091,Pixels,2015,"Action, Science Fiction"
14,5.944927,280000000,1405035767,Avengers: Age of Ultron,2015,"Adventure, Action, Science Fiction"
15,5.8984,44000000,155760117,The Hateful Eight,2015,"Mystery, Western"
16,5.749758,48000000,325771424,Taken 3,2015,"Action, Thriller, Crime"
17,5.5731839999999995,130000000,518602163,Ant-Man,2015,"Adventure, Action"
18,5.556818,95000000,542351353,Cinderella,2015,"Drama, Romance, Fantasy"
19,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,2015,"War, Science Fiction, Adventure"
20,5.4621379999999995,190000000,209035668,Tomorrowland,2015,"Adventure, Mystery, Family, Action, Science Fiction"
21,5.337064,30000000,91709827,Southpaw,2015,"Action, Drama"
22,4.907832,110000000,470490832,San Andreas,2015,"Drama, Thriller, Action"
23,4.710401999999999,40000000,569651467,Fifty Shades of Grey,2015,"Drama, Romance"
24,4.648046,28000000,133346506,The Big Short,2015,Drama
26,4.5645489999999995,68000000,215863606,Ted 2,2015,Comedy
27,4.503789,81000000,403802136,Kingsman: The Secret Service,2015,"Crime, Action, Comedy"
28,4.062293,20000000,88346473,Spotlight,2015,"Thriller, History"
29,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,2015,Action
30,3.927333,0,29355203,Mr. Holmes,2015,Drama
31,3.899557,49000000,102069268,Chappie,2015,"Science Fiction, Crime, Action"
32,3.877764,29000000,287506194,Pitch Perfect 2,2015,"Music, Comedy"
33,3.6482099999999997,40000000,162610473,Bridge of Spies,2015,Thriller
34,3.6445410000000003,58000000,150170815,Goosebumps,2015,"Comedy, Horror"
35,3.557846,6000000,35401758,Room,2015,"Thriller, Drama"
36,3.358321,0,22354572,Solace,2015,"Mystery, Drama"
37,3.3391349999999997,175000000,331926147,The Good Dinosaur,2015,"Comedy, Animation, Family, Adventure"
38,3.23737,50000000,71561644,Run All Night,2015,"Drama, Crime, Mystery, Thriller"
39,3.227329,11000000,62076141,Brooklyn,2015,"Drama, Romance"
40,3.2027189999999996,28000000,201634991,Straight Outta Compton,2015,"Music, Drama"
41,3.080505,90000000,140396650,The Last Witch Hunter,2015,"Action, Adventure"
42,3.0795220000000003,30000000,34441873,Steve Jobs,2015,Drama
43,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,2015,"Comedy, Adventure"
44,3.025852,25000000,42629776,The Age of Adaline,2015,Fantasy
45,3.023253,10000000,14333790,Hardcore Henry,2015,"Action, Science Fiction, Adventure"
46,2.976436,135000000,368871007,Home,2015,"Science Fiction, Animation, Fantasy, Family"
47,2.968254,12000000,85512300,Paper Towns,2015,"Mystery, Romance, Drama"
48,2.93234,30000000,0,Wild Card,2015,"Thriller, Drama, Crime"
49,2.8851259999999996,4000000,9064511,The Lobster,2015,"Romance, Drama, Science Fiction, Thriller, Comedy"
50,2.883233,11800000,40272135,Carol,2015,"Drama, Romance"
51,2.8148020000000002,35000000,194564672,The Intern,2015,Comedy
52,2.7980169999999998,55000000,203427584,Everest,2015,"Drama, Adventure"
53,2.793297,60000000,101134059,Joy,2015,"Drama, Comedy"
54,2.6144990000000004,105000000,133718711,Point Break,2015,"Action, Thriller"
56,2.578919,26000000,30523226,Self/less,2015,"Science Fiction, Thriller, Mystery"
57,2.575711,60000000,30418560,Mortdecai,2015,Comedy
58,2.557859,15000000,64191523,The Danish Girl,2015,Drama
59,2.5507470000000003,70000000,17752940,Blackhat,2015,"Crime, Thriller, Drama, Action"
60,2.487849,30000000,84025816,Sicario,2015,"Thriller, Mystery, Crime, Drama"
61,2.4870419999999998,120000001,167977596,Fantastic Four,2015,"Action, Adventure"
62,2.46449,3500000,40423945,The Witch,2015,"Mystery, Horror"
63,2.404473,65000000,235666219,Spy,2015,"Action, Comedy"
64,2.395366,50100000,153962963,Focus,2015,"Drama, Crime, Romance"
65,2.354654,35000000,82347656,Hitman: Agent 47,2015,"Action, Thriller, Crime"
66,2.345821,100000000,93820758,In the Heart of the Sea,2015,"Drama, Adventure, History, Action, Thriller"
67,2.331636,20000000,0,Survivor,2015,Crime
68,2.3315669999999997,35000000,137935567,Creed,2015,Drama
69,2.31767,35000000,140795793,Trainwreck,2015,Comedy
70,2.29573,13000000,32848185,Eye in the Sky,2015,"Drama, War, Thriller"
71,2.28135,25000000,42972994,Legend,2015,Thriller
72,2.2720439999999997,0,45895,Beyond the Reach,2015,Thriller
73,2.234573,150000000,128388320,Pan,2015,"Fantasy, Adventure"
74,2.165433,0,0,Mythica: The Darkspore,2015,"Action, Fantasy, Adventure"
75,2.141506,0,0,Me and Earl and the Dying Girl,2015,"Drama, Comedy"
76,2.140199,99000000,246233113,The Peanuts Movie,2015,"Family, Animation, Adventure"
77,2.121884,35000000,48623572,Concussion,2015,Drama
78,2.096273,25000000,52395996,The Night Before,2015,Comedy
79,2.0809349999999998,2500000,5214043,Knock Knock,2015,"Thriller, Drama, Horror"
81,2.060162,80000000,466183544,Hotel Transylvania 2,2015,"Animation, Family, Comedy"
82,2.055572,17000000,24000000,Love the Coopers,2015,"Comedy, Family"
83,2.049886,35000000,61181942,The Walk,2015,"Thriller, Drama"
84,2.0266509999999998,11000000,1863315,Tracers,2015,"Crime, Drama, Action"
85,2.000338,31000000,104384188,Vacation,2015,"Comedy, Adventure"
86,1.984529,35000000,95437994,Poltergeist,2015,"Thriller, Horror"
87,1.9800389999999999,4000000,187112,Maggie,2015,Horror
89,1.95632,50000000,3324330,Child 44,2015,"Thriller, Crime"
90,1.926739,5000000,58978653,The Gift,2015,"Mystery, Thriller"
92,1.876037,0,0,Mythica: The Necromancer,2015,"Action, Adventure"
93,1.872696,10000000,0,Vice,2015,"Adventure, Action"
94,1.865007,64000000,97571250,The Little Prince,2015,"Adventure, Fantasy"
95,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,2015,"Comedy, Animation, Adventure, Family"
96,1.82313,11930000,18340000,The Dressmaker,2015,Drama
97,1.758618,8500000,43528634,The DUFF,2015,"Comedy, Romance"
98,1.742286,10000000,52882018,Sinister 2,2015,Horror
99,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,2015,"Comedy, Action, Family"
