Latitude,Longitude,Index,City
22.93,57.53,173,nizwa
60.75,-137.51,550,haines junction
25.29,32.55,253,esna
48.85,-54.01,491,hare bay
14.35,121.02,281,san pedro
12.63,80.17,92,mamallapuram
-31.63,-71.17,42,illapel
40.6,-124.16,296,fortuna
56.97,23.77,158,jurmala
65.42,-52.9,425,maniitsoq
-25.24,130.99,241,yulara
-6.22,-57.75,317,jacareacanga
34.06,108.63,502,yuxia
58.3,-134.42,48,juneau
41.14,-73.36,96,westport
22.89,-109.91,260,cabo san lucas
-38.0,-57.56,60,mar del plata
9.33,-69.12,215,villa bruzual
-38.95,-68.06,517,neuquen
47.89,134.95,270,khor
43.74,135.29,376,olga
-34.73,135.87,333,port lincoln
41.25,31.83,457,zonguldak
54.39,35.73,493,babynino
36.43,-99.39,456,woodward
46.62,10.7,571,lasa
28.37,129.48,206,naze
-46.28,169.85,193,kaitangata
69.41,86.18,283,dudinka
25.29,51.53,445,doha
-33.02,27.91,205,east london
-28.77,114.6,326,geraldton
40.84,31.16,284,duzce
-37.62,-73.65,20,lebu
14.3,44.38,563,yarim
18.22,-63.06,300,the valley
49.78,-74.85,438,chapais
58.35,11.94,287,uddevalla
-33.92,25.57,200,port elizabeth
22.13,75.6,321,kasrawad
41.28,-70.1,518,nantucket
-5.2,-35.46,314,touros
34.73,-86.57,84,madison
25.05,61.74,560,jiwani
56.67,124.65,107,neryungri
61.36,63.58,391,sovetskiy
60.92,-46.05,117,narsaq
55.1,-105.28,403,la ronge
-8.19,114.97,494,banjar
51.59,-3.0,306,newport
0.95,33.12,367,kamuli
51.9,113.16,210,domna
-8.47,118.72,138,bima
65.82,87.98,514,turukhansk
12.18,125.51,90,san policarpo
57.81,42.24,503,ostrovskoye
60.38,92.63,135,teya
38.53,-28.63,516,horta
7.45,126.58,62,baculin
14.43,102.46,329,soeng sang
-4.39,-59.59,106,borba
6.98,35.58,159,mizan teferi
30.48,-115.95,53,san quintin
36.62,-119.31,97,orange cove
61.99,-49.67,305,paamiut
-3.46,120.21,444,kaili
64.84,-147.72,209,fairbanks
41.87,72.94,290,toktogul
8.0,124.29,368,marawi
-16.52,-151.75,268,vaitape
-24.53,32.98,361,chokwe
34.98,139.87,354,tateyama
-9.66,120.26,252,waingapu
68.75,161.3,111,cherskiy
45.02,-93.22,420,saint anthony
-13.2,49.05,519,ambilobe
9.82,80.23,105,point pedro
66.15,-65.71,123,pangnirtung
-0.95,122.79,299,luwuk
-13.7,-76.22,189,pisco
-33.59,26.89,34,port alfred
64.9,45.76,163,leshukonskoye
68.05,39.51,69,ostrovnoy
-51.62,-69.22,371,rio gallegos
-40.81,-63.0,547,viedma
4.93,-52.33,285,cayenne
8.2,-59.78,532,mabaruma
6.62,73.07,458,kulhudhuffushi
50.69,-121.94,352,lillooet
54.02,-124.02,177,vanderhoof
44.38,-64.32,160,lunenburg
20.45,121.97,401,basco
52.11,-101.27,379,swan river
69.42,30.81,549,zapolyarnyy
52.14,-122.14,275,williams lake
-1.52,-52.58,409,almeirim
7.42,81.82,330,kalmunai
63.44,-20.27,539,vestmannaeyjar
45.17,10.78,73,mantua
64.25,-15.21,578,hofn
60.55,-151.26,309,kenai
27.18,31.18,10,asyut
37.35,-108.59,130,cortez
4.88,-1.76,144,takoradi
-21.15,55.28,524,saint-leu
68.82,-51.19,255,qasigiannguit
21.32,-158.01,434,ewa beach
-14.27,-71.23,18,sicuani
57.8,158.67,463,tigil
47.53,52.98,254,dossor
-0.95,100.35,452,padang
-25.3,152.85,278,hervey bay
23.45,-110.22,399,todos santos
-15.82,-50.61,31,itapirapua
66.04,-17.34,41,husavik
34.64,-120.46,227,lompoc
39.17,8.52,561,carbonia
36.62,101.77,464,xining
-32.03,-52.1,272,rio grande
35.91,116.31,125,zhoucheng
39.72,45.65,265,saravan
-42.88,147.33,86,hobart
55.74,-97.86,94,thompson
-3.33,128.92,288,amahai
62.23,-6.59,112,klaksvik
-8.12,111.89,411,boyolangu
22.08,-159.32,0,kapaa
67.47,78.7,559,tazovskiy
40.22,116.22,131,changping
57.31,88.17,237,teguldet
-19.67,22.27,538,nokaneng
52.78,126.53,103,ushumun
46.82,-72.5,501,sainte-thecle
6.45,-1.58,392,bekwai
-8.84,13.23,579,luanda
-33.04,-71.63,436,valparaiso
48.96,2.53,404,villepinte
-8.42,20.74,166,lucapa
-33.01,17.94,307,saldanha
57.05,-135.33,349,sitka
46.49,135.88,277,vostok
-45.42,167.72,472,te anau
20.87,-90.4,226,celestun
-46.6,168.33,71,bluff
13.22,-59.52,26,bathsheba
62.67,135.6,165,khandyga
40.43,71.72,216,komsomolskiy
-35.1,173.78,481,kaeo
9.18,105.15,262,ca mau
5.89,95.32,576,sabang
-14.66,17.69,373,menongue
