Item ,Qty,Unit Price,Total Price
Rosa Parks PK,,,
Dunbar High School,,,
Welcome Stadium,,,
Valerie,,,
Dunbar High School,,,
Wright Brothers,,,
Belle Haven,,,
Dunbar High School,,,
Jackson Center,,,
World of Wonder,,,
Thurgood Marshall,,,
Service Building,,,
Ludlow I NOC,,,
Edwin Joel Brown,,,
Valerie,,,
Charity Adams,,,
River's Edge,,,
Belle Haven,,,
Louise Troy PK-8,,,
Transportation,,,
Belle Haven,,,
Ruskin PK-8,,,
Meadowdale PK-8,,,
Rosa Parks PK,,,
Kemp PK-8,,,
Edwin Joel Brown,,,
Meadowdale HS,,,
Valerie,,,
River's Edge,,,
Wright Brothers,,,
Ludlow I NOC,,,
Charity Adams,,,
Dunbar High School,,,
Westwood,,,
Edison PK-8,,,
Wogaman,,,
Gardendale,,,
David H. Ponitz CTC,,,
Kemp PK-8,,,
Welcome Stadium,,,
Ludlow I NOC,,,
David H. Ponitz CTC,,,
Ruskin PK-8,,,
Kiser,,,
Welcome Stadium,,,
David H. Ponitz CTC,,,
Kemp PK-8,,,
Dayton Boys Prep Academy,,,
Ludlow I NOC,,,
Stivers School for the Arts,,,
Rosa Parks PK,,,
Service Building,,,
Kemp PK-8,,,
Louise Troy PK-8,,,
Horace Mann PK-8,,,
Valerie,,,
Edison PK-8,,,
Gardendale,,,
Kiser,,,
Meadowdale PK-8,,,
Kiser,,,
Wright Brothers,,,
Longfellow Academy,,,
Jackson Center,,,
Welcome Stadium,,,
Jackson Center,,,
Longfellow Academy,,,
Ludlow I,,,
River's Edge,,,
Westwood,,,
,,0.0,
Kemp PK-8,,,
Thurgood Marshall,,,
Kiser,,,
Louise Troy PK-8,,,
Longfellow Academy,,,
Valerie,,,
Eastmont PK-8,,,
Louise Troy PK-8,,,
Wogaman,,,
Westwood,,,
Horace Mann PK-8,,,
Transportation,,,
Ludlow I,,,
Fairview ,,,
Transportation,,,
Horace Mann PK-8,,,
Kemp PK-8,,,
Edwin Joel Brown,,,
Meadowdale PK-8,,,
Dayton Boys Prep Academy,,,
Cleveland,,,
Rosa Parks PK,,,
Westwood,,,
Service Building,,,
Eastmont PK-8,,,
Stivers School for the Arts,,,
Edwin Joel Brown,,,
Cleveland,,,
Dunbar High School,,,
Longfellow Academy,,,
Belle Haven,,,
Eastmont PK-8,,,
Meadowdale HS,,,
Wright Brothers,,,
Kemp PK-8,,,
Westwood,,,
Kiser,,,
Wogaman,,,
Kiser,,,
Wogaman,,,
4,14.0,,
Jackson Center,,,
Edwin Joel Brown,,,
Gardendale,,,
Thurgood Marshall,,,
Transportation,,,
Thurgood Marshall,,,
Welcome Stadium,,,
Gardendale,,,
Stivers School for the Arts,,,
Ludlow I NOC,,,
Belle Haven,,,
Thurgood Marshall,,,
Ludlow I NOC,,,
Dunbar High School,,,
River's Edge,,,
Ruskin PK-8,,,
Meadowdale HS,,,
Service Building,,,
Dunbar High School,,,
Jackson Center,,,
