Thematic,Milestones,Status,Need for Technical Assistance?,Financial Support needed,Priority,Supporting Attachment (to be uploaded in the specified link),Indicator it corresponds to
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,H
1,Plan composition (number and repartition),0,0,0,0,0,2
0,Training + Capacity Building,0,0,0,0,0,D
2,0,0,0,0,0,0,3
2,Policy developped and endorsed by CCM,0,0,0,0,0,N
0,Training + Capacity Building,0,0,0,0,0,E
0,Training + Capacity Building,0,0,0,0,0,F
0,Plan,0,0,0,0,0,A
5,Implementation of Communication Plan,0,0,0,0,0,C
1,Membership Renewal Calendar,0,0,0,0,0,2
5,Implementation of Communication Plan,0,0,0,0,0,F
0,Structure + Membership,0,0,0,0,0,0
5,Communication Plan,0,0,0,0,0,L
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,M
0,Tools,0,0,0,0,0,1
4,Civil Society and Private Sector,0,0,0,0,0,1
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,P
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,K
3,Conduct Structural reform,0,0,0,0,0,0
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,G
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,I
2,Implementation (including signature of COI forms),0,0,0,0,0,3
