name,pop
Midwood,55440
Sunset Park East,72340
 Travis,39309
Soundview,35634
 Queens,436
Williamsbridge,61321
 Throgs Neck,43712
 Huguenot,27770
 Morris Heights,54188
 Bruckner,35634
Pomonok,34034
Rugby,57934
 Remsen Village,57934
 South Side,40130
Starrett City,14621
 Midtown South,28630
Bath Beach,29931
Springfield Gardens North,25441
Oakland Gardens,28237
Prospect Lefferts Gardens,70300
 Morris Park,27135
Rego Park,29404
 Flat Iron,55839
Auburndale,19996
 Manhattan,1662
Dyker Heights,39332
 Castle Hill,53686
Brooklyn Heights,22887
 Bruckner,35137
Far Rockaway,50058
Park Slope,67649
Fort Greene,28335
Clinton,40595
Marble Hill,46746
Ozone Park,21376
 Queens,1785
 Bathgate,28149
East New York (Pennsylvania Ave),29343
East Tremont,39280
 St. George,33551
Park Slope,67263
Old Town,23017
Ocean Parkway South,20299
Hunts Point,27204
Great Kills,41680
 Country Club,27140
Battery Park City,39699
College Point,24275
 Pelham Gardens,28510
Pelham Parkway,30006
Belmont,27378
Midtown,25807
East Harlem South,56899
 Arrochar,15238
 etc,1849
Hunters Point,63271
Steinway,53604
Ozone Park,21052
 Melrose,29797
 Civic Center,42742
Carroll Gardens,38327
Glendale,31071
Sunset Park West,52312
 Baychester,35422
park,0
Westchester,27248
 Graniteville,27957
Clinton Hill,34791
Bensonhurst East,62978
Rossville,18894
Glen Oaks,22426
 Olinville,57420
Grasmere,15238
 Unionport,25768
North Side,45774
 Long Island City,21104
Madison,39076
Windsor Terrace,20779
Queens Village,57704
 Coney Island,31965
East Concourse,58961
Arden Heights,25238
 Clason Point,50753
 Clearview,22731
 Little Italy,42742
Corona,52082
Grasmere,16079
 Union Square,55839
 New Brighton,33551
Annadale,27770
Hammels,31645
Forest Hills,83728
 Op City,43752
 South Beach,23017
Crotona Park East,20277
 Carnegie Hill,61207
Hollis,20747
New Dorp,20242
 Little Neck,24356
 Bay Terrace,22731
 etc,93
Kew Gardens Hills,36052
Gramercy,26184
Ocean Parkway South,20556
 Roosevelt Island,80771
Williamsburg,32269
Mott Haven,52413
 Cooper Village,19101
Woodhaven,56674
Gramercy,27988
Hunts Point,25142
 Clifton,19834
 Lighthse Hill,30714
Upper East Side,61207
North Riverdale,27860
 Sunnyside,61947
Lincoln Square,61489
Central Harlem South,43383
Richmond Hill,62982
Soundview,35137
Stapleton,26453
Brighton Beach,35547
 New Brighton,32154
 Manhattn Bch,64596
Kew Gardens,23278
 Gowanus,67263
 Bronx,540
 Maspeth,25521
 Clifton,22460
Sheepshead Bay,64596
 Edgemere,36885
 cemetery,7
Morrisania,29797
 etc,418
 Baychester,34517
Lower East Side,72258
 etc,1662
Westerleigh,23790
Lower East Side,72957
Bayside,43808
 Brooklyn,93
Highbridge,33844
 Midtown South,25807
Bedford,70713
Fresh Meadows,17373
Crown Heights North,103169
Ocean Hill,30067
 Bergen Beach,42940
Mount Hope,51807
 Mott Haven North,33195
Bushwick North,57138
Madison,38917
 Floral Park,22571
Jamaica Estates,25480
Prospect Heights,19655
 Downtown Brklyn,30847
Briarwood,39138
Brooklyn Heights,22548
Battery Park City,20088
 Midland Beach,21896
North Side,40130
 cemetery,1785
Rikers Island,12780
West Concourse,39557
St. Albans,50046
Stapleton,24048
Springfield Gardens North,25409
Glen Oaks,22571
Bushwick South,64617
Yorkville,76768
Flushing,69362
 Riverdale,28013
Elmhurst,24338
 Broad Chnl,26711
Queensboro Hill,20800
 Harding Park,50753
Bath Beach,28572
Astoria,78793
East Williamsburg,31878
East Elmhurst,23150
 Ft. Wadsworth,16079
West Farms,35011
Georgetown,45231
Charleston,18332
