Subtitle,Item #,Description,On Hand,Reg.,Special
Rimfire Rifles,SAV96709,SAVAGE 93R17-F 17HMR,3.0,360.0,288.0
Shotguns,FR40841,"FRANCHI AFFINITY CMPT 12 GA 26""",1.0,1350.0,1147.5
Rimfire Rifles,SAV96901,SAVAGE BMAG SYN 17 WSM,2.0,510.0,408.0
Shotguns,11403204,"BROWNING SILVER MOSGB DT,12-3.5,28 +",1.0,1595.0,1355.75
Centrefire Rifles,NOS39648,NOSLER 48 LIBERTY 28 NOSLER,1.0,2295.0,1900.0
Centrefire Rifles,35330226,BROWNING X-BLT MED MAPLE 30-06 SPRG,1.0,1265.0,1075.25
Centrefire Rifles,35336209,BROWNING X-BLT SS 22-250 REM,1.0,1325.0,1126.25
Rimfire Rifles,SAV13795,SAVAGE RASCAL RED 22 LR,2.0,250.0,220.0
Restricted Firearms,RUG5027,RUGER RDHWK 45 COLT SS,2.0,1495.0,1075.0
Restricted Firearms,51808490,"BROWNING 1911-22 A1 TAN FS,S,22 LR",1.0,690.0,515.0
Restricted Firearms,G17GEN4FS,GLOCK 17 GEN 4 FIXED SIGHTS,1.0,1035.0,875.0
Rimfire Rifles,SAV40203,SAVAGE 64F 22 LR,,210.0,168.0
Shotguns,FRA0426200,"FRANCHI INTENSITY 12 GA 3.5"" 28""",1.0,1495.0,1270.75
Centrefire Rifles,35202229,BROWNING X-BLT SS 300 WIN MAG,1.0,1375.0,1168.75
Centrefire Rifles,SAV19579,SAVAGE AXIS WEB 7mm-08 REM,1.0,500.0,375.0
Rimfire Rifles,SAV45110,SAVAGE 64FV-SR SEMI 22LR,2.0,315.0,252.0
Rimfire Rifles,SAV96705,SAVAGE 93R17 BVSS 17 HMR,1.0,599.0,479.2
Restricted Firearms,JS92F510,BERETTA 92FS INOX 9MM,1.0,1190.0,995.0
Shotguns,ST20000,"BENELLI NOVA 3.5"" 12 GA 28""",1.0,660.0,528.0
Centrefire Rifles,JRTV120,TIKKA T3 CAMO STAINLESS 30-06 SPRG,1.0,1080.0,845.0
Centrefire Rifles,TTT71RL103,TIKKA T3 SS FLUTED 300 WSM,1.0,1050.0,845.0
Centrefire Rifles,35201246,BROWNING X-BLT STLKR 300 WSM,2.0,1050.0,892.5
Shotguns,DEMOM2,"BENELLI M2 TAC 18"" 12GA",1.0,1300.0,875.0
Centrefire Rifles,JRS1Q20,SAKO 85 FINNLIGHT 30-06,1.0,2300.0,1950.0
Centrefire Rifles,JRS1B34,SAKO 85 SS/SYN 338 WIN MAG,1.0,2300.0,1950.0
Restricted Firearms,G22GEN4FS,GLOCK 22 GEN 4 FIXED SIGHTS,1.0,1065.0,875.0
Centrefire Rifles,35202248,BROWNING X-BLT SS 270 WSM,1.0,1375.0,1168.75
Centrefire Rifles,SAVAXIS06,SAVAGE AXIS SS 30-06,2.0,500.0,375.0
Rimfire Rifles,UB2200,"UBERTI SILVERBOY 22 LR 19""",1.0,815.0,675.0
Centrefire Rifles,NOS39248,NOSLER 48 LIBERTY 30 NOSLER,2.0,2295.0,1900.0
Centrefire Rifles,TS3202900,TIKKA T3 SYN 30-06,1.0,840.0,675.0
Rimfire Rifles,SAV96712,SAVAGE 93R17 FSSNS 17 HMR,1.0,445.0,356.0
Centrefire Rifles,T1T11LL103S,TIKKA T3 SYN 223 REM,1.0,840.0,675.0
Centrefire Rifles,R27107,REM 700 CDL LH 30-06,1.0,1150.0,695.0
Rimfire Rifles,SAV13805,SAVAGE RASCAL YELLOW 22 LR,2.0,250.0,220.0
Restricted Firearms,51802490,BROWNING 1911-22 A1 22LR,1.0,725.0,525.0
Restricted Firearms,W227R-45-BSS,SIG SAUER P227R 45 ACP,1.0,1325.0,1150.0
Centrefire Rifles,TH31041SS,TIKKA T3 HUNTER SS 300 WIN,2.0,1185.0,845.0
Centrefire Rifles,SAV22228,SAVAGE AXIS-II XP 30-06 SPFD,1.0,600.0,500.0
Centrefire Rifles,34018116,BROWNING BLR SS 7MM-08 REM,1.0,1225.0,1041.25
Restricted Firearms,J9A9F11,BERETTA 92A1 9MM,1.0,980.0,833.0
