Index,k-features,accuracy,precision,recall,f1-score
FS_11_AB,11.0,0.7152777777777778,0.7396584896584897,0.7146811094317198,0.7205214964440844
FS_11_LR,11.0,0.7708333333333334,0.7795664284036378,0.7670748879329277,0.7723320969855294
FS_11_DT,11.0,0.7569444444444444,0.7692926568688764,0.7626471082173908,0.7624000805396154
FS_7_AB,7.0,0.6944444444444444,0.7142429916263587,0.7086870401810978,0.7087962962962963
FS_9_RF,9.0,0.7291666666666666,0.736331513464902,0.7237905369484317,0.7290663573117606
FS_1_RF,1.0,0.5555555555555556,0.5586829891287418,0.5687668784364011,0.5630644767583778
FS_9_LR,9.0,0.7083333333333334,0.7227704678362573,0.6941919191919191,0.7051678492004658
FS_3_LR,3.0,0.75,0.7568719986752773,0.749818991924255,0.7527462924953351
FS_5_LR,5.0,0.7777777777777778,0.7814072783584978,0.7856837606837607,0.7833333333333333
FS_5_RF,5.0,0.7569444444444444,0.7570058374157703,0.7700854700854701,0.7622606871230002
FS_1_DT,1.0,0.6458333333333334,0.6672619047619048,0.6254881389520314,0.6286410715297966
FS_3_RF,3.0,0.7152777777777778,0.7280810844422335,0.7085769980506823,0.7136969696969698
FS_12_LR,12.0,0.7847222222222222,0.8051007801193125,0.779352278545827,0.7887726308778941
FS_11_NB,11.0,0.75,0.7594293603313392,0.7718223979123874,0.7564352212455029
FS_9_DT,9.0,0.7291666666666666,0.746457108397407,0.7334263689526846,0.7362015128030567
FS_12_NB,12.0,0.7708333333333334,0.7795347868877281,0.7835637480798772,0.7780586462926541
FS_7_LR,7.0,0.7638888888888888,0.7776945459872291,0.7682384112774606,0.7723733660130719
FS_1_NB,1.0,0.5486111111111112,0.5552959173648829,0.6026079410412336,0.5459576621277688
FS_12_DT,12.0,0.6805555555555556,0.7063840155945419,0.6727086533538147,0.6831041567883673
