Restaurant_id,City,Ranking,Rating,Number of Reviews,URL_TA,ID_TA,Cuisine Style
id_1,Zurich,2,4.5,418.0,/Restaurant_Review-g188113-d10169867-Reviews-Tamarind_Hill_Indian_Restaurant-Zurich.html,d10169867,"  Asian,   Vegetarian Friendly,   Gluten Free Options,   Vegan Options, Indian"
id_10032,Paris,10034,4.5,2.0,/Restaurant_Review-g187147-d1035491-Reviews-Le_Kaiku-Paris_Ile_de_France.html,d1035491,Other
id_1004,Budapest,1005,5.0,17.0,/Restaurant_Review-g274887-d3685490-Reviews-Felix_Helix-Budapest_Central_Hungary.html,d3685490,"  Central European, European"
id_10057,Paris,10059,4.5,4.0,/Restaurant_Review-g187147-d2040769-Reviews-Le_Paradis-Paris_Ile_de_France.html,d2040769,Other
id_101,Helsinki,102,4.0,231.0,/Restaurant_Review-g189934-d3456729-Reviews-Putte_s_Bar_Pizza-Helsinki_Uusimaa.html,d3456729,"  European, Italian,   Vegan Options,   Pizza,   Vegetarian Friendly"
id_1010,Berlin,1012,3.5,440.0,/Restaurant_Review-g187323-d1507237-Reviews-Coa_Asian_Food_Drinks-Berlin.html,d1507237,"Asian,   Vegan Options,   Gluten Free Options,   Vietnamese,   Vegetarian Friendly"
id_1010,Hamburg,1012,4.5,9.0,/Restaurant_Review-g187331-d1347837-Reviews-Trastevere_Uno-Hamburg.html,d1347837,Other
id_1012,Helsinki,1013,3.0,19.0,/Restaurant_Review-g189934-d3345223-Reviews-Rice_Garden-Helsinki_Uusimaa.html,d3345223,"  Sushi, Japanese,   Asian"
id_10139,Paris,10141,4.0,5.0,/Restaurant_Review-g187147-d7595454-Reviews-Eric_Kayser-Paris_Ile_de_France.html,d7595454,Other
id_10142,London,10151,4.0,5.0,/Restaurant_Review-g186338-d12391114-Reviews-Lahori_Tikka_Masala-London_England.html,d12391114,Other
id_10157,London,10166,5.0,4.0,/Restaurant_Review-g186338-d9602787-Reviews-Ugarit_Restaurant-London_England.html,d9602787,"  Mediterranean, Lebanese"
id_10177,Paris,10179,4.0,9.0,/Restaurant_Review-g187147-d1336101-Reviews-Le_Tarbouche-Paris_Ile_de_France.html,d1336101,Italian
id_1018,Brussels,1019,4.5,45.0,/Restaurant_Review-g1136488-d5599563-Reviews-Le_Chalet_de_la_Foret-Uccle_Brussels.html,d5599563,Other
id_1025,Warsaw,1026,4.5,3.0,/Restaurant_Review-g274856-d12685574-Reviews-Vincentz-Warsaw_Mazovia_Province_Central_Poland.html,d12685574,Other
id_10299,Paris,10301,4.0,4.0,/Restaurant_Review-g187147-d7147205-Reviews-Le_Delly_s_de_Jaures-Paris_Ile_de_France.html,d7147205,Mediterranean
id_10305,London,10314,4.0,13.0,/Restaurant_Review-g186338-d8463851-Reviews-Itsu-London_England.html,d8463851,"  Sushi, Japanese"
id_1033,Dublin,1035,3.5,230.0,/Restaurant_Review-g186605-d1553821-Reviews-Cafe_Carlo-Dublin_County_Dublin.html,d1553821,Irish
id_1033,London,1035,4.5,193.0,/Restaurant_Review-g186338-d8599829-Reviews-Oklava-London_England.html,d8599829,"  Middle Eastern,   Vegetarian Friendly,   European,   Gluten Free Options,   Vegan Options,   Turkish"
id_10343,Paris,10345,3.5,6.0,/Restaurant_Review-g187147-d12681857-Reviews-Epicerie_et_Associes-Paris_Ile_de_France.html,d12681857,Other
id_10356,London,10365,3.5,65.0,/Restaurant_Review-g186338-d2001507-Reviews-Nando_s_Chiswick-London_England.html,d2001507,"Fast Food,   Portuguese"
id_10381,Paris,10383,4.0,3.0,/Restaurant_Review-g187147-d12571297-Reviews-Combat-Paris_Ile_de_France.html,d12571297,"  Pub, Bar"
id_1040,Budapest,1041,4.5,14.0,/Restaurant_Review-g274887-d10354665-Reviews-Game_Up_Pub-Budapest_Central_Hungary.html,d10354665,"  Hungarian,   European"
id_1041,Stockholm,1042,4.0,37.0,/Restaurant_Review-g189852-d3529487-Reviews-Albert_Jack_s-Stockholm.html,d3529487,"Cafe,   Delicatessen,   Swedish"
