No.,Title,Written by,Storyboard by
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch,Eric Bergeron
S3,"""D.W. and the Beastly Birthday""",Peter K. Hirsch, Olivier Migneron
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Sylvie Lafrance
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Helene Cossette
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Stefanie Gignac
S3,"""D.W. and the Beastly Birthday""",Peter K. Hirsch, Bernie Denk
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Emmanuelle Gignac
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Jeremy O'Neill
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Lyndon Ruddy
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Harry Rasmussen & Ivan Tankushev
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Mario Cabrera
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh,Gerry Capelle
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Gerry Capelle
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Nick Vallinakis & Robert Yap
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Nadja Cozic
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Angus Bungay
S3,"""D.W. and the Beastly Birthday""",Peter K. Hirsch, Dev Ramsaran & Cilbur Rocha
