"Asian alone, percent, July 1, 2016,  (V2016)","Female persons, percent,  July 1, 2016,  (V2016)","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","With a disability, under age 65 years, percent, 2011-2015","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Population, Census, April 1, 2010","Median selected monthly owner costs -with a mortgage, 2011-2015","Nonminority-owned firms, 2012","Foreign born persons, percent, 2011-2015","Female persons, percent, April 1, 2010","Persons per household, 2011-2015","Land area in square miles, 2010","Persons in poverty, percent","Persons 65 years and over, percent, April 1, 2010","Households, 2011-2015","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Total employment, percent change, 2014-2015","Total annual payroll, 2015 ($1,000)","Two or More Races, percent, July 1, 2016,  (V2016)","Median gross rent, 2011-2015","Minority-owned firms, 2012","Nonveteran-owned firms, 2012","Owner-occupied housing unit rate, 2011-2015","Total employer establishments, 2015","Total nonemployer establishments, 2015","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","White alone, percent, July 1, 2016,  (V2016)","Persons  without health insurance, under age 65 years, percent","Median value of owner-occupied housing units, 2011-2015","All firms, 2012","Median selected monthly owner costs -without a mortgage, 2011-2015","Total retail sales per capita, 2012","Total retail sales, 2012 ($1,000)","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Persons under 5 years, percent, July 1, 2016,  (V2016)","Men-owned firms, 2012","Persons under 18 years, percent, April 1, 2010","Total health care and social assistance receipts/revenue, 2012 ($1,000)","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Building permits, 2016","Total merchant wholesaler sales, 2012 ($1,000)","Total employment, 2015","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Veteran-owned firms, 2012","Population estimates, July 1, 2016,  (V2016)","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Persons under 18 years, percent, July 1, 2016,  (V2016)","Total manufacturers shipments, 2012 ($1,000)","Total accommodation and food services sales, 2012 ($1,000)","Housing units, April 1, 2010","Black or African American alone, percent, July 1, 2016,  (V2016)","Population per square mile, 2010",Fact,"Women-owned firms, 2012","Median household income (in 2015 dollars), 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015"
8.70%,49.90%,15.00%,9.00%,28.50%,"2,700,551","$1,442 ","144,944",19.20%,49.50%,2.72,"109,781.18",13.80%,12.00%,"1,016,709",64.00%,"1,221,698",3.70%,"46,595,673",4.20%,$973 ,"71,864","191,293",55.10%,"63,383","205,980",8.90%,"2,700,691",75.10%,13.10%,"$173,700 ","227,156",$410 ,"$13,858 ","38,234,170",1.60%,"220,332",49.90%,6.30%,"114,057",24.60%,"13,928,514",59.30%,"17,952","19,841,701","1,129,965",23.9,"23,049","2,940,058","$26,541 ",0.80%,30.00%,23.00%,78.80%,23.00%,"14,719,141","27,481,505","1,173,814",9.60%,24.6,Nevada,"82,508","$51,847 ",85.10%
3.10%,50.80%,16.20%,10.30%,5.00%,"9,883,640","$1,257 ","657,237",6.30%,50.90%,2.52,"56,538.90",15.00%,13.80%,"3,841,148",61.20%,"4,560,055",3.20%,"174,873,962",2.40%,$783 ,"158,946","733,517",71.00%,"219,627","700,254",0.40%,"9,884,129",79.60%,6.30%,"$122,400 ","834,087",$461 ,"$12,071 ","119,302,046",0.70%,"626,722",75.40%,5.80%,"446,128",23.70%,"63,018,786",57.10%,"20,408","115,704,903","3,725,280",24.2,"71,861","9,928,300","$26,607 ",Z,9.20%,26.90%,85.30%,22.10%,"238,892,383","17,962,356","4,532,233",14.20%,174.8,Michigan,"306,986","$49,576 ",89.60%
1.80%,51.20%,15.70%,11.20%,5.20%,"6,346,105","$1,181 ","434,025",4.80%,51.30%,2.53,"41,234.90",15.80%,13.40%,"2,504,556",61.00%,"2,919,671",2.20%,"110,481,280",1.90%,$764 ,"105,234","469,392",66.80%,"133,344","495,703",4.80%,"6,346,298",78.70%,10.60%,"$142,100 ","550,453",$359 ,"$14,194 ","91,641,605",0.40%,"462,414",74.20%,6.10%,"302,249",23.60%,"42,383,683",56.30%,"36,157","111,718,421","2,507,205",24.5,"59,379","6,651,194","$25,227 ",0.10%,6.90%,24.90%,84.70%,22.60%,"139,960,482","12,499,013","2,812,133",17.10%,153.90,Tennessee,"195,694","$45,219 ",85.50%
1.80%,50.60%,18.10%,10.00%,1.90%,"625,741","$1,535 ","70,491",4.30%,50.70%,2.34,"9,216.66",11.90%,14.60%,"257,167",66.60%,"329,525",2.00%,"10,615,093",1.90%,$895 ,"2,354","63,317",71.00%,"21,121","60,312",-0.20%,"625,741",94.60%,4.50%,"$217,500 ","75,827",$641 ,"$15,868 ","9,933,751",0.40%,"44,708",93.10%,4.90%,"41,270",20.70%,"4,457,996",63.60%,"1,771","6,450,076","266,363",22.5,"8,237","624,594","$29,894 ",Z,5.40%,36.00%,86.50%,19.00%,"9,315,494","1,564,272","322,539",1.30%,67.9,Vermont,"23,417","$55,176 ",91.80%
1.60%,51.50%,16.70%,10.30%,5.50%,"4,625,364","$1,183 ","276,269",4.80%,51.40%,2.56,"30,060.70",15.30%,13.70%,"1,815,094",60.10%,"2,236,153",2.80%,"66,120,263",1.80%,$790 ,"83,233","303,137",68.60%,"103,973","329,431",7.30%,"4,625,410",68.50%,11.90%,"$139,900 ","367,726",$347 ,"$12,298 ","58,093,824",0.50%,"378,959",63.90%,5.90%,"202,446",23.40%,"22,941,292",56.20%,"32,165","45,520,900","1,662,251",23.9,"47,987","4,961,119","$24,604 ",0.10%,6.90%,25.80%,84.70%,22.10%,"99,160,840","9,763,818","2,137,683",27.50%,153.90,South Carolina,"131,856","$45,483 ",85.60%
0.80%,49.70%,17.70%,9.10%,3.60%,"989,415","$1,294 ","102,746",2.10%,49.80%,2.41,"145,545.80",13.30%,14.80%,"409,394",63.60%,"497,756",3.10%,"14,227,065",2.70%,$711 ,"5,578","93,393",67.20%,"37,270","86,969",5.40%,"989,414",89.20%,9.80%,"$193,500 ","112,419",$387 ,"$15,544 ","15,623,573",6.60%,"90,000",86.50%,6.00%,"55,913",22.60%,"6,469,475",59.50%,"4,781","12,645,824","375,041",18.1,"11,486","1,042,520","$26,381 ",0.10%,4.10%,29.50%,83.60%,21.80%,"11,535,236","2,420,455","482,825",0.60%,6.8,Montana,"35,449","$47,169 ",92.80%
3.50%,51.00%,17.40%,9.50%,7.00%,"12,702,379","$1,425 ","818,858",6.30%,51.30%,2.49,"44,742.70",12.90%,15.40%,"4,958,859",62.80%,"5,612,002",1.00%,"257,626,942",1.90%,$840 ,"131,512","837,792",69.20%,"299,695","811,890",0.60%,"12,702,857",82.40%,6.70%,"$166,000 ","975,453",$498 ,"$14,008 ","178,794,945",0.40%,"870,770",77.00%,5.60%,"579,400",22.00%,"96,329,248",58.30%,"23,303","191,170,147","5,306,896",26.3,"97,969","12,784,227","$29,291 ",0.10%,10.60%,28.60%,88.00%,20.90%,"231,396,178","23,504,192","5,567,315",11.80%,283.90,Pennsylvania,"304,803","$53,599 ",89.20%
2.20%,50.50%,15.00%,11.30%,10.30%,"3,751,351","$1,147 ","249,027",5.80%,50.50%,2.57,"68,594.92",16.30%,13.50%,"1,455,321",61.10%,"1,721,045",0.80%,"59,124,620",6.10%,$727 ,"64,875","273,491",66.10%,"93,093","276,218",4.60%,"3,751,615",74.60%,16.10%,"$117,900 ","327,229",$370 ,"$13,174 ","50,256,231",9.20%,"295,847",66.20%,6.80%,"174,395",24.80%,"22,795,438",55.70%,"12,092","71,892,946","1,370,988",21.3,"36,273","3,923,561","$25,032 ",0.20%,9.80%,24.10%,82.60%,24.50%,"74,295,394","7,121,153","1,664,378",7.80%,54.70,Oklahoma,"105,168","$46,879 ",86.90%
0.80%,50.50%,18.80%,14.40%,1.50%,"1,852,994",$966 ,"104,785",1.50%,50.70%,2.43,"24,038.21",17.90%,16.00%,"740,890",53.90%,"886,640",-1.70%,"22,159,084",1.70%,$643 ,"5,777","94,960",72.50%,"36,993","88,136",-1.20%,"1,853,011",93.60%,6.50%,"$103,800 ","114,435",$293 ,"$12,201 ","22,637,923",0.20%,"150,021",92.30%,5.50%,"63,112",20.90%,"12,259,395",49.20%,"2,544","14,295,437","565,435",25.6,"12,912","1,831,102","$23,450 ",Z,2.50%,19.20%,88.20%,20.50%,"24,553,072","4,036,333","881,917",3.60%,77.1,West Virginia,"39,065","$41,751 ",85.00%
1.50%,49.90%,15.10%,9.00%,12.30%,"1,567,582","$1,189 ","130,973",6.10%,49.90%,2.69,"82,643.12",14.40%,12.40%,"589,320",62.60%,"700,825",3.00%,"21,119,617",2.40%,$743 ,"10,592","124,314",68.90%,"44,757","122,221",7.40%,"1,567,650",93.30%,11.80%,"$162,900 ","146,642",$340 ,"$12,812 ","20,444,278",1.80%,"119,711",82.40%,6.80%,"70,438",27.40%,"7,895,614",56.80%,"12,165","17,906,012","546,524",20.2,"12,804","1,683,140","$23,399 ",0.20%,10.60%,25.90%,82.40%,26.00%,"20,201,432","2,680,225","667,796",0.80%,19,Idaho,"45,121","$47,583 ",89.50%
