Item #,Description,Reg.,Special,Disc. %
Shotguns,,,,
MKA1919KM,MKA 1919 KEY MOD 12GA,1050.0,892.5,15.00000095
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Shotguns,,,,
Restricted Firearms,,,,
Shotguns,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
35202231,BROWNING X-BLT SS 338 WIN MAG,1375.0,1168.75,15.00000095
Rimfire Rifles,,,,
SAV45110,SAVAGE 64FV-SR SEMI 22LR,315.0,252.0,20.0
Centrefire Rifles,,,,
35800246,BROWNING A-BLT 3 STLKR 300 WSM,675.0,573.75,15.00000095
NOS32948,NOSLER 48 LIBERTY 26 NOSLER,2295.0,1900.0,17.20999908
35299226,BROWNING X-BLT ECLP HUNT 30/06 SPRG,1175.0,998.75,15.00000095
35202248,BROWNING X-BLT SS 270 WSM,1375.0,1168.75,15.00000095
SAV19579,SAVAGE AXIS WEB 7mm-08 REM,500.0,375.0,25.0
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Restricted Firearms,,,,
Rimfire Rifles,,,,
SAV96705,SAVAGE 93R17 BVSS 17 HMR,599.0,479.2,20.0
Centrefire Rifles,,,,
NOS39248,NOSLER 48 LIBERTY 30 NOSLER,2295.0,1900.0,17.20999908
Rimfire Rifles,,,,
Centrefire Rifles,,,,
JRTV120,TIKKA T3 CAMO STAINLESS 30-06 SPRG,1080.0,845.0,21.76000023
Rimfire Rifles,,,,
Shotguns,,,,
Restricted Firearms,,,,
Centrefire Rifles,,,,
K3000814,KIMBER MONTANA 280 ACK. IMP.,2099.0,1700.0,19.01000023
Shotguns,,,,
MOS51672,MOSSBERG 590 TACT 12G ADJ STK,820.0,656.0,20.0
Restricted Firearms,,,,
Centrefire Rifles,,,,
R27269,REM 700 SPS SS 30-06 SPRG,960.0,785.0,18.22999954
Rimfire Rifles,,,,
Restricted Firearms,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
K3000764,KIMBER MTN ASCENT 280 ACKLEY,2975.0,2400.0,19.32999992
T1T11LL103S,TIKKA T3 SYN 223 REM,840.0,675.0,19.63999939
Shotguns,,,,
12271204,"BROWNING BPS 12GA 3.5"" MAG MOSG",1095.0,930.75,15.00000095
Centrefire Rifles,,,,
R84078,REM 700 CDL DM 7mm REM MAG,1150.0,695.0,39.56999969
35201246,BROWNING X-BLT STLKR 300 WSM,1050.0,892.5,15.00000095
35202246,BROWNING X-BLT SS 300 WSM,1375.0,1168.75,15.00000095
Shotguns,,,,
Restricted Firearms,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Restricted Firearms,,,,
Shotguns,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Restricted Firearms,,,,
51507490,"BROWNING BM CNTR SS 5.5"" URX 22LR",695.0,520.0,25.18000031
Centrefire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
Restricted Firearms,,,,
1911-22-OD-TB,SIG 1911 22 OD TB,699.0,399.0,42.91999817
G17GEN4FS,GLOCK 17 GEN 4 FIXED SIGHTS,1035.0,875.0,15.46000004
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Restricted Firearms,,,,
Centrefire Rifles,,,,
R27107,REM 700 CDL LH 30-06,1150.0,695.0,39.56999969
TH31041SS,TIKKA T3 HUNTER SS 300 WIN,1185.0,845.0,28.69000053
Rimfire Rifles,,,,
SAV96703,SAVAGE 93R17 FVSS 17 HMR,570.0,456.0,20.0
Shotguns,,,,
Centrefire Rifles,,,,
SAV19234,SAVAGE AXIS XP 30-06 SPRG,500.0,425.0,15.0
Rimfire Rifles,,,,
Shotguns,,,,
Rimfire Rifles,,,,
SAV13780,SAVAGE RASCAL PINK 22 LR,250.0,220.0,12.0
Shotguns,,,,
12274204,"BROWNING BPS MAX5 12 GA 3.5"" 28""",1120.0,952.0,15.00000095
ST20000,"BENELLI NOVA 3.5"" 12 GA 28""",660.0,528.0,20.0
