Column1,Aliases,"Hardy
Through
Zone",Drought,Shade,Flood,"Low
Fert","Growth
Habit",Median,+/-
Mustards, yellow,0,3,2,1,1,0,6.5,1.0
Field peas, black peas,0,2,1,1,1,2,6.5,0.5
Sweetclovers,NaN,2,4,1,1,4,0,7.0,0.25
Crimson clover,NaN,0,1,3,1,2,0,6.75,1.25
Radish, Daikon,6,1,2,1,2,0,6.75,0.75
Annual ryegrass,Italian ryegrass,6,1,3,3,1,0,6.5,0.5
Barley,NaN,0,3,2,1,3,0,7.25,1.25
Hairy vetch,winter vetch,2,2,2,1,1,2,6.5,1.0
Sorghum–sudangrass,Sudax,1,4,2,2,2,0,6.5,0.5
Cereal rye,winter or grain rye,3,3,3,2,4,0,6.0,1.0
Mustards, white,0,3,2,1,1,0,6.5,1.0
Rapeseed, canola,0,2,2,1,1,0,6.75,1.25
Radish,oilseed,6,1,2,1,2,0,6.75,0.75
Radish, forage,6,1,2,1,2,0,6.75,0.75
Field peas,winter peas,0,2,1,1,1,2,6.5,0.5
Medics,NaN,2,3,3,1,2,3,6.5,0.5
Mustards,brown,0,3,2,1,1,0,6.5,1.0
Oats,spring oats,8,1,1,2,2,0,6.0,1.5
Berseem clover, multicut,7,2,3,2,2,1,6.6,0.4
