"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
NURSING,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
WELDING,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
WELDING,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
PHYSICS,,,,,,,,,,,
MUSIC,,,,,,,,,,,
WELDING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
NURSING,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
BLUEPRINT READING ,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
FRENCH LANGUAGE AND LITERATURE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44640.0,3,BIO 151-A001,Principles of Biology Lab I,2,0,15,24,24,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
WELDING,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
WELDING,,,,,,,,,,,
CIS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
EDUCATION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
NURSING,,,,,,,,,,,
THEATRE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44794.0,,BIO 137-A0YL,28,,3,20,21,29,1.0,43696.0,43814.0
NURSING,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,
WELDING,,,,,,,,,,,
HISTORY,,,,,,,,,,,
CIS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,
WELDING,,,,,,,,,,,
CIS,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
NURSING,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
NURSING,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44967.0,1,BIO 113-A003,25,1,7,19,20,22,2.0,43696.0,43814.0
CIS,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ART ,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
NUTRITION AND FOOD SCIENCE,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
CIS,,,,,,,,,,,
HISTORY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
EDUCATION,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
CIS,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
HISTORY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
44518.0,4,COM 287-A0Z1,Persuasive Speaking,3,1,1,1,44,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,,,,,,,,,,,
CARDIOPULMONARY RESUSCITATION,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
NURSING,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,
THEATRE,,,,,,,,,,,
MUSIC,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
WELDING,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
HISTORY,,,,,,,,,,,
