Name,Jersey #,Year,Position,Ht
Lithonia,,,,
Booker T. Washington,,,,
Grady,,,,
Maynard H. Jackson,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Carver,,,,
South Atlanta,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Carver,,,,
Benjamen E. Mays,,,,
Grady,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Grady,,,,
Lithonia,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
Carver,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
Grady,,,,
Zack Carter,87.0,12.0,33,
Carver,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Kelvin Hodge,16.0,12.0,,
Maynard H. Jackson,,,,
Douglass,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Carver,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Lithonia,,,,
Carver,,,,
North Atlanta,,,,
Douglass,,,,
South Atlanta,,,,
Frank Bailey,14.0,9.0,,
North Atlanta,,,,
Maynard H. Jackson,,,,
Carver,,,,
Grady,,,,
Benjamen E. Mays,,,,
Carver,,,,
D.M. Therrell,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Parker Cook,54.0,,,
Best Academy,,,,
Grady,,,,
North Atlanta,,,,
Best Academy,,,,
Lithonia,,,,
Grady,,,,
Douglass,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Best Academy,,,,
Grady,,,,
Douglass,,,,
Lithonia,,,,
South Atlanta,,,,
Grady,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Grady,,,,
South Atlanta,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
D.M. Therrell,,,,
North Atlanta,,,,
Carver,,,,
Booker T. Washington,,,,
Douglass,,,,
Carver,,,,
Omar Bloodsoe,70.0,10.0,22,8
Booker T. Washington,,,,
North Atlanta,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Dallas Warmack,59.0,11.0,20,9
D.M. Therrell,,,,
Best Academy,,,,
Carver,,,,
South Atlanta,,,,
Best Academy,,,,
Leonard Walker,84.0,12.0,6,5
Grady,,,,
Douglass,,,,
Best Academy,,,,
Nicholas Pressley,41.0,11.0,0,1
Lithonia,,,,
Best Academy,,,,
Grady,,,,
D.M. Therrell,,,,
Carver,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Carver,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Carver,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Douglass,,,,
Booker T. Washington,,,,
Best Academy,,,,
Carver,,,,
North Atlanta,,,,
Lithonia,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Dominique Jenkins,75.0,,,
Grady,,,,
Carver,,,,
Justin Broughton,23.0,10.0,12,
North Atlanta,,,,
South Atlanta,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Best Academy,,,,
North Atlanta,,,,
Carver,,,,
South Atlanta,,,,
Grady,,,,
D.M. Therrell,,,,
Grady,,,,
Maynard H. Jackson,,,,
Marquez Hurley,24.0,12.0,13,
Douglass,,,,
Carver,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
North Atlanta,,,,
Carver,,,,
Benjamen E. Mays,,,,
Grady,,,,
Benjamen E. Mays,,,,
Jovan Taylor,20.0,11.0,11,0
Carver,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Lithonia,,,,
South Atlanta,,,,
Maynard H. Jackson,,,,
Booker T. Washington,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Chavis Jones,2.0,10.0,16,1
Benjamen E. Mays,,,,
Carver,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
Virgil Pressley,32.0,12.0,,
D.M. Therrell,,,,
North Atlanta,,,,
Carver,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Grady,,,,
Carver,,,,
Maynard H. Jackson,,,,
Grady,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Carver,,,,
Timsonte Dukes,29.0,10.0,17,2
North Atlanta,,,,
Maynard H. Jackson,,,,
Leonard Guffie,27.0,12.0,32,4
Best Academy,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Carver,,,,
North Atlanta,,,,
Grady,,,,
Benjamen E. Mays,,,,
Douglass,,,,
Grady,,,,
D.M. Therrell,,,,
Booker T. Washington,,,,
Douglass,,,,
Lithonia,,,,
North Atlanta,,,,
Booker T. Washington,,,,
Grady,,,,
Lithonia,,,,
Addison Ford,41.0,9.0,5,7
Carver,,,,
Benjamen E. Mays,,,,
Marquez Daniels,50.0,10.0,18,1
Carver,,,,
South Atlanta,,,,
Calvin Ussery,10.0,10.0,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Grady,,,,
Douglass,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Grady,,,,
Kiboh Webster,79.0,12.0,8,
Carver,,,,
Malik Stephens,24.0,12.0,15,7
South Atlanta,,,,
Maynard H. Jackson,,,,
Santwan Harris,36.0,12.0,MLB,6
Benjamen E. Mays,,,,
Brian Jackson,39.0,11.0,15,7
Maynard H. Jackson,,,,
South Atlanta,,,,
Booker T. Washington,,,,
D.M. Therrell,,,,
Booker T. Washington,,,,
Grady,,,,
Douglass,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Grady,,,,
Lithonia,,,,
Grady,,,,
Maynard H. Jackson,,,,
Grady,,,,
Benjamen E. Mays,,,,
Grady,,,,
Seth Wolfe,54.0,9.0,8,
D.M. Therrell,,,,
Jerome Bigsby,6.0,12.0,25,7
Booker T. Washington,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
Booker T. Washington,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
North Atlanta,,,,
Grady,,,,
Carver,,,,
Booker T. Washington,,,,
Best Academy,,,,
Grady,,,,
Maynard H. Jackson,,,,
Carver,,,,
Grady,,,,
Maynard H. Jackson,,,,
Booker T. Washington,,,,
Grady,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Grady,,,,
Douglass,,,,
Hugo Genchi,53.0,9.0,8,5
Grady,,,,
Carver,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
North Atlanta,,,,
Booker T. Washington,,,,
Grady,,,,
Best Academy,,,,
Carver,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
D.M. Therrell,,,,
Carver,,,,
Douglass,,,,
Carver,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Grady,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Grady,,,,
Carver,,,,
Christopher Roberts,40.0,9.0,26,4
D.M. Therrell,,,,
Jamarri Thomas,41.0,9.0,9,7
Douglass,,,,
Grady,,,,
