"Product Code
nieuw",VPE,Omschrijving 2,EAN code,Omschrijving 1,Bruto systeemprijs
Wire stripper,,,,,
Cable knives Secura,,,,,
Micro Wire Stripper,,,,,
40025,,PWS-Plus 002,4011391400252.0,Jokari Micro-precisie Draadstripper PWS-Plus 002,35.45000000000001
Cable knives Secura,,,,,
Cable stripper,,,,,
Accessoires,,,,,
Cable knives,,,,,
Cable stripper,,,,,
Micro Wire Stripper,,,,,
Wire stripper,,,,,
Cable stripper,,,,,
Accessoires,,,,,
Cable stripper,,,,,
30161,,PC-CAT,4011391301610.0,Jokari Kabelstripper PC-CAT,33.75
Cable knives Standard,,,,,
Cable knives,,,,,
Wire stripper,,,,,
Accessoires,,,,,
Cable knives Standard,,,,,
Micro Wire Stripper,,,,,
40055,,SWS-Plus 025,4011391400559.0,Jokari Micro Draadstripper SWS-Plus 025,27.1
40027,,ESD-Plus 001,4011391400276.0,Jokari Micro Draadstripper ESD-Plus 001,45.5
40065,,SWS-Plus 030,4011391400658.0,Jokari Micro Draadstripper SWS-Plus 030,27.1
Cable knives Standard,,,,,
Various models,,,,,
Accessoires,,,,,
Cable knives,,,,,
Cable stripper,,,,,
Wire stripper,,,,,
Cable stripper,,,,,
Accessoires,,,,,
Cable stripper,,,,,
30700,,Fibre Strip DC,4011391307001.0,Jokari Kabelstripper Fibre Strip DC,28.20000000000001
Accessoires,,,,,
Cable knives,,,,,
Wire stripper,,,,,
Cable stripper,,,,,
30900,,Allrounder,4011391309005.0,Jokari Kabelstripper Allrounder,26.8
Wire stripper,,,,,
Cable stripper,,,,,
Micro Wire Stripper,,,,,
Accessoires,,,,,
Wire stripper,,,,,
Cable knives Standard,,,,,
Cable knives,,,,,
Cable knives Standard,,,,,
Cable stripper,,,,,
30190,,"SE-Strip 2,5-6",4011391301900.0,"Jokari Kabelstripper SE-Strip 2,5-6",38.55
Cable knives Standard,,,,,
Accessoires,,,,,
60115,1000.0,End sleeves 1.50,4011391601154.0,"Jokari Adereindhuls zwart - 1,5mm (500st)",17.8
60175,1000.0,End sleeves 0.75,4011391601758.0,"Jokari Adereindhuls grijs - 0,75mm (500st)",17.8
Cable knives Standard,,,,,
Accessoires,,,,,
Micro Wire Stripper,,,,,
Various models,,,,,
Micro Wire Stripper,,,,,
Cable stripper,,,,,
Wire stripper,,,,,
Micro Wire Stripper,,,,,
Various models,,,,,
Cable knives Secura,,,,,
Accessoires,,,,,
Cable stripper,,,,,
Wire stripper,,,,,
Cable knives,,,,,
Cable knives Standard,,,,,
10285,,No. 28G ,4011391102859.0,Jokari Kabelmes Standaard Nr. 28G,12.8
Wire stripper,,,,,
Various models,,,,,
Micro Wire Stripper,,,,,
40105,,SWS-Plus 080,4011391401051.0,Jokari Micro Draadstripper SWS-Plus 080,27.1
Cable knives,,,,,
Micro Wire Stripper,,,,,
40085,,SWS-Plus 050,4011391400856.0,Jokari Micro Draadstripper SWS-Plus 050,27.1
40015,,SWS-Plus 012,4011391400153.0,Jokari Micro Draadstripper SWS-Plus 012,27.1
Various models,,,,,
Accessoires,,,,,
Cable stripper,,,,,
30013,,CAN-Strip,4011391300132.0,Jokari Kabelstripper Can Strip,164.10000000000005
Cable knives Standard,,,,,
Accessoires,,,,,
Cable knives Standard,,,,,
Wire stripper,,,,,
Cable stripper,,,,,
Cable knives Secura,,,,,
