Desc,ID,Size,Price,Colors
Nef,G4058,2,16.85, Blue
Nef,G4058,2,16.85, Yellow
Fik,K4149,2,79.77,Red
Nif,M2228,2,22.27, Blue
Pec,B2448,1,47.69,1
Bov,H4912,0,13.88,Red
Hic,S4162,0,32.66, Green
Vof,D5368,0,89.03, Red
Hic,S4162,0,32.66, Blue
Keg,K1919,1,65.67, Red
Moc,D6429,3,38.34,Green
Deh,F7804,2,39.13,Black
Dut,F2709,1,53.46,Yellow
Juc,N9050,2,82.26, Red
Kid,M4124,3,35.4, Red
Teb,D6219,0,92.6, Blue
Vof,D5368,0,89.03, Yellow
Hic,S4162,0,32.66,Yellow
Leg,F3006,1,10.15,Red
Nup,D3028,2,13.62,1
Nef,G4058,2,16.85,Green
Sep,H5408,0,46.42,2
Kid,M4124,3,35.4,Blue
Vof,D5368,0,89.03,Blue
Pav,H1756,2,30.42,Red
Pav,H1756,2,30.42, Yellow
Dar,P5336,2,94.3, Red
Det,F4478,0,86.32, Red
Fik,K4149,2,79.77, Black
Hag,T4758,2,33.37, Green
Goh,N6858,3,24.81, Red
Luh,N5050,0,18.57,Blue
Goh,N6858,3,24.81,Blue
Dar,P5336,2,94.3,Black
Pav,H1756,2,30.42, Black
Nif,M2228,2,22.27,Yellow
Moc,D6429,3,38.34, Black
Luh,N5050,0,18.57, Yellow
Keg,K1919,1,65.67,Blue
Rif,P8966,2,29.97,0
Dar,P5336,2,94.3, Yellow
Huc,S3840,2,25.32, Black
Fes,J2948,2,55.84, Blue
Nef,G4058,2,16.85, Black
Det,F4478,0,86.32, Black
Leg,F3006,1,10.15, Blue
Leg,F3006,1,10.15, Black
Fes,J2948,2,55.84, Red
Sav,J7355,0,98.53,0
