Desc,ID,Size,Price,Colors
Bov,H4912,0,13.88,Red
Dar,P5336,2,94.3," Red, Black,  Yellow"
Deh,F7804,2,39.13,Black
Det,F4478,0,86.32," Red,  Black"
Dut,F2709,1,53.46,Yellow
Fes,J2948,2,55.84," Blue,  Red"
Fik,K4149,2,79.77,"Red,  Black"
Goh,N6858,3,24.81," Red, Blue"
Hag,T4758,2,33.37, Green
Hic,S4162,0,32.66," Green,  Blue, Yellow"
Huc,S3840,2,25.32, Black
Juc,N9050,2,82.26, Red
Keg,K1919,1,65.67," Red, Blue"
Kid,M4124,3,35.4," Red, Blue"
Leg,F3006,1,10.15,"Red,  Blue,  Black"
Luh,N5050,0,18.57,"Blue,  Yellow"
Moc,D6429,3,38.34,"Green,  Black"
Nef,G4058,2,16.85," Blue,  Yellow, Green,  Black"
Nif,M2228,2,22.27," Blue, Yellow"
Nup,D3028,2,13.62,1
Pav,H1756,2,30.42,"Red,  Yellow,  Black"
Pec,B2448,1,47.69,1
Rif,P8966,2,29.97,0
Sav,J7355,0,98.53,0
Sep,H5408,0,46.42,2
Teb,D6219,0,92.6, Blue
Vof,D5368,0,89.03," Red,  Yellow, Blue"
