Column1,"Hardy
Through
Zone",Heat,Drought,Flood,"Low
Fert","Growth
Habit",Median,+/-,Aliases
Annual ryegrass,6,1,1,3,1,0,6.5,0.5,Italian ryegrass
Berseem clover,7,3,2,2,2,1,6.6,0.4, multicut
Buckwheat,1,1,0,1,1,1,6.0,1.0,NaN
Cereal rye,3,1,3,2,4,0,6.0,1.0,winter or grain rye
Cowpeas,1,2,3,1,4,2,6.0,0.5,"crowder peas,  southern peas"
Field peas,0,3,2,1,1,2,6.5,0.5,winter peas
Hairy vetch,2,1,2,1,1,2,6.5,1.0,winter vetch
Mustards,0,1,3,1,1,0,6.5,1.0,"brown,  yellow,  oriental"
Radish,6,2,1,1,2,0,6.75,0.75,"oilseed,  forage"
Rapeseed,0,3,2,1,1,0,6.75,1.25,"rape,  canola"
Red clover,2,1,1,2,1,0,6.6,0.4,NaN
Sorghum–sudangrass,1,2,4,2,2,0,6.5,0.5,Sudax
Subterranean clover,0,1,3,2,4,3,6.25,0.75,subclover
Sweetclovers,2,0,4,1,4,0,7.0,0.25,NaN
Wheat,4,2,2,0,2,0,6.75,0.75,NaN
Woollypod vetch,0,3,3,2,3,Semi-prostrate,7.0,1.0,Lana
