Column1,Aliases,"Hardy
Through
Zone",Heat,Drought,Flood,"Low
Fert","Growth
Habit",Median,+/-
Cereal rye,winter or grain rye,3,1,3,2,4,0,6.0,1.0
Mustards,brown,0,1,3,1,1,0,6.5,1.0
Cowpeas,crowder peas,1,2,3,1,4,2,6.0,0.5
Woollypod vetch,Lana,0,3,3,2,3,Semi-prostrate,7.0,1.0
Sorghum–sudangrass,Sudax,1,2,4,2,2,0,6.5,0.5
Buckwheat,NaN,1,1,0,1,1,1,6.0,1.0
Subterranean clover,subclover,0,1,3,2,4,3,6.25,0.75
Field peas,winter peas,0,3,2,1,1,2,6.5,0.5
Mustards, yellow,0,1,3,1,1,0,6.5,1.0
Rapeseed,rape,0,3,2,1,1,0,6.75,1.25
Radish,oilseed,6,2,1,1,2,0,6.75,0.75
Red clover,NaN,2,1,1,2,1,0,6.6,0.4
Cowpeas, southern peas,1,2,3,1,4,2,6.0,0.5
Hairy vetch,winter vetch,2,1,2,1,1,2,6.5,1.0
Mustards, oriental,0,1,3,1,1,0,6.5,1.0
Annual ryegrass,Italian ryegrass,6,1,1,3,1,0,6.5,0.5
Rapeseed, canola,0,3,2,1,1,0,6.75,1.25
Wheat,NaN,4,2,2,0,2,0,6.75,0.75
Berseem clover, multicut,7,3,2,2,2,1,6.6,0.4
Sweetclovers,NaN,2,0,4,1,4,0,7.0,0.25
Radish, forage,6,2,1,1,2,0,6.75,0.75
