city,ranking,reviews_number,cuisine_style
Amsterdam,1.0,136.0," European, French,  Dutch"
Amsterdam,5.0,316.0,"Dutch,  Gluten Free Options,  Vegetarian Friendly,  European,  International,  Vegan Options"
Amsterdam,7.0,1455.0," Vegan Options,  European,  International,  Vegetarian Friendly, French,  Mediterranean,  Gluten Free Options"
Amsterdam,8.0,675.0," Vegetarian Friendly,  Indonesian,  Vegan Options,  Gluten Free Options, Asian"
Amsterdam,9.0,923.0," Asian,  Gluten Free Options, Japanese,  Vegan Options,  Vegetarian Friendly"
Amsterdam,10.0,450.0,"Dutch,  Seafood,  Fast Food"
Amsterdam,11.0,295.0," Gluten Free Options,  Bar, American,  Vegetarian Friendly,  European"
Amsterdam,13.0,368.0," Gluten Free Options, French,  Vegetarian Friendly,  European,  Central European,  Vegan Options"
Amsterdam,15.0,1246.0," Gluten Free Options,  Dutch,  International,  Vegetarian Friendly, French,  Vegan Options,  European"
Amsterdam,16.0,1391.0," Gluten Free Options,  Vegan Options,  Vegetarian Friendly, Dutch,  European,  Cafe,  British"
Amsterdam,17.0,1633.0," International,  Gluten Free Options,  Healthy,  European,  Vegetarian Friendly, Dutch"
Amsterdam,18.0,958.0," Seafood,  Vegetarian Friendly, French,  European,  International,  Gluten Free Options,  Bar"
Amsterdam,19.0,426.0," Vegan Options,  Nepali,  Gluten Free Options,  Vegetarian Friendly, Indian,  Tibetan"
Amsterdam,21.0,1380.0," European, International"
Amsterdam,22.0,239.0," Vegetarian Friendly,  Dutch,  European,  Gluten Free Options, French,  International,  Seafood"
Amsterdam,29.0,344.0," Vegetarian Friendly,  Vegan Options, Dutch,  International,  Gluten Free Options,  European"
Amsterdam,32.0,821.0,"Steakhouse,  Gluten Free Options,  Barbecue,  Argentinean,  Latin,  South American"
Amsterdam,37.0,264.0," European,  Vegetarian Friendly, Dutch,  Vegan Options,  Gluten Free Options"
Amsterdam,38.0,308.0," Gluten Free Options,  Vegan Options,  European, Dutch,  Cafe,  Vegetarian Friendly"
Amsterdam,39.0,697.0," European, Bar,  International,  Vegetarian Friendly"
Amsterdam,42.0,718.0,"Indian,  Gluten Free Options,  Vegan Options,  Nepali,  Vegetarian Friendly"
Amsterdam,44.0,408.0," International,  Seafood, Dutch"
Amsterdam,51.0,681.0,"Dutch,  European"
Amsterdam,52.0,1995.0," Gluten Free Options,  Vegan Options,  Vegetarian Friendly, Dutch,  European,  Diner"
Amsterdam,59.0,555.0," Vegetarian Friendly, International,  European"
Amsterdam,61.0,1091.0," European,  Vegetarian Friendly,  Cafe,  Vegan Options,  Gluten Free Options,  Contemporary, New Zealand"
Amsterdam,65.0,2428.0," Gluten Free Options,  Vegetarian Friendly,  Central European,  Vegan Options, Dutch,  European"
Amsterdam,67.0,838.0," European,  Vegetarian Friendly,  International, Dutch,  Gluten Free Options,  Vegan Options"
Amsterdam,68.0,510.0," European, Dutch,  Vegetarian Friendly"
Amsterdam,71.0,416.0," Indonesian,  Vegan Options, Asian,  Vegetarian Friendly"
Amsterdam,73.0,748.0," Bar, American,  Fast Food"
Amsterdam,76.0,425.0," Cafe, Dutch,  International,  European,  Vegetarian Friendly,  Vegan Options"
Amsterdam,79.0,1313.0,"Belgian,  Vegetarian Friendly,  Vegan Options,  Fast Food,  Dutch"
Amsterdam,81.0,681.0," Vegan Options,  Vegetarian Friendly, Italian,  Gluten Free Options,  Pizza,  European"
Amsterdam,87.0,377.0," Italian,  Vegetarian Friendly,  Pizza, Steakhouse,  Gluten Free Options,  Seafood"
Amsterdam,91.0,888.0," Barbecue,  Grill,  European,  Steakhouse, American,  Gluten Free Options,  Bar"
Amsterdam,94.0,1480.0," European,  Mediterranean,  Vegetarian Friendly,  Dutch,  Fast Food,  Grill,  Seafood,  Vietnamese,  Spanish,  Korean,  Indian,  American, Asian,  Sushi,  Italian,  French,  Street Food,  Bar,  Gluten Free Options,  Turkish,  Vegan Options"
