Region,Democrats,Republicans,Total,States Included
South Central,17,60,77, LA
Mountain,12,19,31, NV
Mountain,12,19,31,AZ
Midwest,8,21,29, KS
Midwest,8,21,29,IA
New England,20,1,21, RI
Mid-Atlantic,38,28,66, NJ
New England,20,1,21,CT
South Atlantic,23,52,75,FL
South Central,17,60,77, MS
South Central,17,60,77, AR
South Atlantic,23,52,75, GA
Pacific,51,20,71, OR
New England,20,1,21, MA
Pacific,51,20,71,AK
Mountain,12,19,31, NM
Mid-Atlantic,38,28,66, NY
South Atlantic,23,52,75, NC
South Central,17,60,77,AL
Great Lakes,25,40,65, WI
Midwest,8,21,29, NE
Mountain,12,19,31, CO
Great Lakes,25,40,65, IL
Mountain,12,19,31, MT
Midwest,8,21,29, SD
New England,20,1,21, ME
South Central,17,60,77, TN
Mountain,12,19,31, WY
South Atlantic,23,52,75, WV
Great Lakes,25,40,65, IN
South Central,17,60,77, KY
New England,20,1,21, VT
Mountain,12,19,31, ID
Great Lakes,25,40,65, OH
Pacific,51,20,71, HI
South Central,17,60,77, OK
Pacific,51,20,71, WA
Midwest,8,21,29, ND
New England,20,1,21, NH
South Atlantic,23,52,75, SC
South Central,17,60,77, TX
Mid-Atlantic,38,28,66, PA
Mid-Atlantic,38,28,66,DE
Mountain,12,19,31, UT
Mid-Atlantic,38,28,66, MD
Midwest,8,21,29, MN
Great Lakes,25,40,65,MI
South Atlantic,23,52,75, VA
Midwest,8,21,29, MO
Pacific,51,20,71, CA
