Index,City,Country,Latitude,Longitude
62,baculin,PH,7.45,126.58
510,impfondo,CG,1.64,18.07
534,rawson,AR,-43.3,-65.1
286,sorong,ID,-0.88,131.25
28,quatre cocos,MU,-20.21,57.76
103,ushumun,RU,52.78,126.53
542,general pico,AR,-35.66,-63.76
0,kapaa,US,22.08,-159.32
183,kurkino,RU,53.43,38.66
251,san carlos de bariloche,AR,-41.15,-71.31
234,dicabisagan,PH,17.08,122.42
434,ewa beach,US,21.32,-158.01
233,divnogorsk,RU,55.96,92.36
369,midland,US,32.0,-102.08
297,benghazi,LY,32.12,20.07
427,fort oglethorpe,US,34.95,-85.26
21,tasiilaq,GL,65.61,-37.64
488,divnomorskoye,RU,44.5,38.14
260,cabo san lucas,MX,22.89,-109.91
146,lakkion,GR,37.13,26.85
61,dikson,RU,73.51,80.55
104,vilhena,BR,-12.74,-60.15
236,maceio,BR,-9.67,-35.74
340,moron,AR,-34.65,-58.62
367,kamuli,UG,0.95,33.12
411,boyolangu,ID,-8.12,111.89
475,bowen,AU,-20.02,148.23
345,alugan,PH,12.22,125.48
462,mandalgovi,MN,45.76,106.27
265,saravan,AM,39.72,45.65
509,redding,US,40.59,-122.39
4,dingle,PH,11.0,122.67
262,ca mau,VN,9.18,105.15
403,la ronge,CA,55.1,-105.28
29,cape town,ZA,-33.93,18.42
583,roberval,CA,48.52,-72.23
107,neryungri,RU,56.67,124.65
563,yarim,YE,14.3,44.38
101,whitehorse,CA,60.72,-135.05
414,vila franca do campo,PT,37.72,-25.43
157,mount isa,AU,-20.73,139.5
476,monrovia,LR,6.3,-10.8
117,narsaq,GL,60.92,-46.05
72,imbituba,BR,-28.24,-48.67
581,hailar,CN,49.2,119.7
385,abilene,US,32.45,-99.73
350,kirovo-chepetsk,RU,58.55,50.04
283,dudinka,RU,69.41,86.18
313,marystown,CA,47.17,-55.15
127,cururupu,BR,-1.83,-44.87
40,hermanus,ZA,-34.42,19.23
556,royal tunbridge wells,GB,51.13,0.26
357,zhanakorgan,KZ,43.91,67.25
339,chilakalurupet,IN,16.08,80.17
481,kaeo,NZ,-35.1,173.78
229,yar-sale,RU,66.83,70.83
545,flinders,AU,-34.58,150.86
316,aranos,,-24.13,19.12
363,davila,PH,18.47,120.58
443,poopo,BO,-18.37,-66.97
548,guca,RS,43.78,20.23
429,arkhangelsk,RU,64.54,40.54
321,kasrawad,IN,22.13,75.6
205,east london,ZA,-33.02,27.91
36,busselton,AU,-33.65,115.33
566,chongwe,ZM,-15.33,28.68
220,mogadishu,SO,2.04,45.34
273,ancud,CL,-41.87,-73.82
43,tiznit,MA,29.58,-9.5
365,tabuk,PH,17.42,121.44
1,georgetown,MY,5.41,100.34
514,turukhansk,RU,65.82,87.98
449,tucuman,AR,-26.82,-65.22
268,vaitape,PF,-16.52,-151.75
194,kruisfontein,ZA,-34.0,24.73
81,gigmoto,PH,13.78,124.39
9,hilo,US,19.73,-155.09
77,contamana,PE,-7.33,-75.02
527,jalu,LY,29.03,21.55
494,banjar,ID,-8.19,114.97
575,oktyabrskoye,RU,43.06,44.74
289,aksu,CN,41.12,80.26
59,bredasdorp,ZA,-34.53,20.04
14,yellowknife,CA,62.46,-114.35
191,nicoya,CR,10.15,-85.45
48,juneau,US,58.3,-134.42
415,waipawa,NZ,-41.41,175.52
366,mananjary,MG,-21.22,48.33
44,ambanja,MG,-13.68,48.45
419,durango,MX,24.83,-104.83
417,opuwo,,-18.06,13.84
388,phonhong,LA,18.5,102.42
65,airai,TL,-8.93,125.41
399,todos santos,MX,23.45,-110.22
447,londa,IN,15.47,74.52
129,fonte boa,BR,-2.5,-66.27
134,niimi,JP,34.98,133.47
432,pontianak,ID,-0.03,109.33
325,fare,PF,-16.7,-151.02
227,lompoc,US,34.64,-120.46
78,shieli,KZ,44.17,66.75
95,lagoa,PT,39.05,-27.98
140,rockland,US,41.17,-74.05
438,chapais,CA,49.78,-74.85
177,vanderhoof,CA,54.02,-124.02
329,soeng sang,TH,14.43,102.46
178,apac,UG,1.98,32.54
175,mount gambier,AU,-37.83,140.77
394,uthal,PK,25.81,66.62
202,oliveira,BR,-20.7,-44.83
218,norsup,VU,-16.07,167.38
536,biak,ID,-0.91,122.88
368,marawi,PH,8.0,124.29
371,rio gallegos,AR,-51.62,-69.22
133,castro,BR,-24.79,-50.01
168,boende,CD,-0.22,20.87
466,lorca,ES,37.67,-1.7
478,mocuba,MZ,-16.84,36.99
464,xining,CN,36.62,101.77
562,chabahar,IR,25.29,60.64
96,westport,US,41.14,-73.36
379,swan river,CA,52.11,-101.27
112,klaksvik,FO,62.23,-6.59
337,ouadda,CF,8.08,22.4
445,doha,QA,25.29,51.53
259,bambanglipuro,ID,-7.95,110.28
108,barrow,US,71.29,-156.79
190,birnin kebbi,NG,12.45,4.2
141,mahebourg,MU,-20.41,57.7
458,kulhudhuffushi,MV,6.62,73.07
570,antofagasta,CL,-23.65,-70.4
336,kodinsk,RU,58.69,99.18
506,galveston,US,29.37,-94.97
380,benemerito de las americas,MX,16.52,-90.64
332,pafos,CY,34.77,32.42
203,whakatane,NZ,-37.96,176.99
270,khor,RU,47.89,134.95
147,letpadan,MM,17.78,95.75
189,pisco,PE,-13.7,-76.22
137,ler,SS,8.3,30.14
540,najran,SA,17.49,44.13
255,qasigiannguit,GL,68.82,-51.19
155,radovitskiy,RU,55.13,39.8
557,muros,ES,42.78,-9.06
94,thompson,CA,55.74,-97.86
328,caravelas,BR,-17.71,-39.25
92,mamallapuram,IN,12.63,80.17
126,adrar,MR,20.5,-10.07
116,pangkalanbuun,ID,-2.68,111.62
519,ambilobe,MG,-13.2,49.05
397,sawakin,SD,19.11,37.33
16,muroto,JP,33.28,134.15
231,meulaboh,ID,4.14,96.13
91,banyo,CM,6.75,11.82
525,beira,MZ,-19.84,34.84
85,nome,US,64.5,-165.41
80,mataura,NZ,-46.19,168.86
559,tazovskiy,RU,67.47,78.7
456,woodward,US,36.43,-99.39
279,tuatapere,NZ,-46.13,167.68
552,koregaon,IN,18.65,74.08
75,lamar,US,33.67,-95.58
346,ajaccio,FR,42.0,8.92
535,gwadar,PK,25.12,62.33
215,villa bruzual,VE,9.33,-69.12
165,khandyga,RU,62.67,135.6
351,namatanai,PG,-3.67,152.43
154,chokurdakh,RU,70.63,147.92
561,carbonia,IT,39.17,8.52
221,falmouth,GB,50.15,-5.07
446,jalingo,NG,8.88,11.37
66,cidreira,BR,-30.18,-50.21
119,millau,FR,44.08,2.92
420,saint anthony,US,45.02,-93.22
212,leningradskiy,RU,69.38,178.42
384,marzuq,YE,14.4,46.47
