Type of sport,Age,Sex,Standard,Days later,Sampling rationale
Net/Wall,23,F,Professional,3.0,Won major international tournament
Sprinting,22,M,National amateur,1.0,Won national university championships
,28,M,Professional,,Olympic athlete and Commonwealth Games medalist
,37,M,Professional,,New Zealand All Black with over 100 caps; World Cup winner
,32,F,Amateur,6.0,Finished second in international race
,22,M,International professional,6.0,Ran national record in Diamond League
Team,32,F,International amateur,6.0,Self-reported excellent performance
Endurance,23,F,Recreational,1.0,Ran personal best in marathon
Sprinting,21,M,International amateur,3.0,Won national university championships
,37,M,Sponsored,,World-record holder for polar expeditions
Net/Wall,22,M,Professional,1.0,Reached final of national championships
Endurance,41,F,Recreational,3.0,Ran personal best in marathon
Net/Wall,20,F,Professional,9.0,Qualified for Wimbledon championships
Endurance,26,F,Recreational,0.0,Ran personal best in 5-km race
Team,26,M,Club,5.0,Awarded player of the match
Sprinting,21,M,International amateur,,Gold medalist at Commonwealth Games
Team,20,F,University,2.0,Self-reported excellent performance
Net/Wall,23,F,Professional,7.0,Won international tournament
Endurance,29,F,Sponsored,3.0,Completed 300-km event—personal best for distance cycled
Team,25,F,Regional,2.0,Awarded player of the match
Endurance,36,M,Professional,9.0,Won national half-ironman event
Sprinting,48,F,Experienced,,"Climbed five 8,000-m mountains including Everest"
Outdoors/Adventure,33,M,Professional,4.0,Self-reported excellent performance
Endurance,35,M,International amateur,2.0,Finished fourth in national half-ironman event
Outdoors/Adventure,24,M,Experienced,6.0,Self-reported excellent performance while climbing highest peak in UK
,40,M,Recreational,5.0,Self-reported excellent performance
