Region,Democrats,Republicans,Total,States Included
South Atlantic,23,52,75, SC
Great Lakes,25,40,65, WI
South Atlantic,23,52,75, VA
Mid-Atlantic,38,28,66, MD
Mid-Atlantic,38,28,66, PA
Mountain,12,19,31, ID
South Central,17,60,77, MS
Midwest,8,21,29, NE
New England,20,1,21, RI
Mountain,12,19,31, UT
Midwest,8,21,29, SD
Pacific,51,20,71,AK
Pacific,51,20,71, CA
New England,20,1,21, NH
South Central,17,60,77, TX
Mid-Atlantic,38,28,66, NJ
Pacific,51,20,71, WA
New England,20,1,21,CT
Midwest,8,21,29,IA
Mountain,12,19,31, NV
Great Lakes,25,40,65,MI
South Central,17,60,77, KY
New England,20,1,21, MA
Great Lakes,25,40,65, IL
Mid-Atlantic,38,28,66,DE
South Atlantic,23,52,75,FL
Mountain,12,19,31, WY
Pacific,51,20,71, OR
New England,20,1,21, VT
Midwest,8,21,29, MO
Pacific,51,20,71, HI
Mountain,12,19,31, NM
South Central,17,60,77, AR
Mid-Atlantic,38,28,66, NY
Mountain,12,19,31, CO
South Atlantic,23,52,75, NC
Midwest,8,21,29, MN
South Central,17,60,77, TN
South Central,17,60,77,AL
South Central,17,60,77, OK
New England,20,1,21, ME
Mountain,12,19,31,AZ
Mountain,12,19,31, MT
Great Lakes,25,40,65, IN
Midwest,8,21,29, ND
Great Lakes,25,40,65, OH
Midwest,8,21,29, KS
South Central,17,60,77, LA
South Atlantic,23,52,75, WV
South Atlantic,23,52,75, GA
