pop,name
0,"Airport, park, Airport,  etc,  Staten Island"
7," etc,  Staten Island, park,  cemetery"
93," cemetery,  etc, park,  Brooklyn"
418," etc,  Brooklyn, park,  cemetery"
436," cemetery, park,  etc,  Queens"
540," Bronx, park,  etc,  cemetery"
1662," Manhattan,  cemetery, park,  etc"
1785," etc,  Queens,  cemetery, park"
1849," cemetery,  etc, park,  Manhattan"
1906," cemetery,  etc,  Bronx, park"
11091,Rikers Island
12780,Rikers Island
13354,Starrett City
14621,Starrett City
15238," Ft. Wadsworth,  Arrochar, Grasmere"
16079,"Grasmere,  Ft. Wadsworth"
16784,New Brighton
17373, Utopia
17525,New Brighton
17812,"Fresh Meadows,  Utopia"
18042,Port Richmond
18072,Crotona Park East
18332," Tottenville,  Richmond Valley, Charleston"
18677,Cambria Heights
18894," Woodrow, Rossville"
18950," Brookville, Springfield Gardens South"
19309,Queensboro Hill
19655,Prospect Heights
19834," Clifton, Grymes Hill,  Fox Hills"
19849,Prospect Heights
19996,Auburndale
20030," Long Island City,  Ravenswood, Queensbridge"
20088," Lower Manhattan, Battery Park City"
20132,"Springfield Gardens South,  Brookville"
20191,Port Richmond
20201,Auburndale
20242," Midland Beach, New Dorp"
20269,Hollis
20277,Crotona Park East
20299,Ocean Parkway South
20556,Ocean Parkway South
20747,Hollis
20763,"Rossville,  Woodrow"
20779,Windsor Terrace
20800,Queensboro Hill
20944,Cambria Heights
20988,Windsor Terrace
21049,"Stuyvesant Town,  Cooper Village"
21052,Ozone Park
21104,"Queensbridge,  Ravenswood,  Long Island City"
21183,East Elmhurst
21376,Ozone Park
21751,"Ft. Totten,  Bay Terrace"
21896,"New Dorp,  Midland Beach"
22049," Oakwood Beach, Oakwood"
22266,"Oakwood,  Oakwood Beach"
22426,"Glen Oaks,  Floral Park,  New Hyde Park"
22460," Fox Hills, Grymes Hill,  Clifton"
22548, Cobble Hill
22571," Floral Park, Glen Oaks,  New Hyde Park"
22731," Bay Terrace, Ft. Totten,  Clearview"
22887,"Brooklyn Heights,  Cobble Hill"
22950,Manhattanville
23017," South Beach, Old Town,  Dongan Hills"
23082,Longwood
23150,East Elmhurst
23278,Kew Gardens
23313," Tottenville,  Richmond Valley, Charleston"
23790,Westerleigh
23888,Kew Gardens
24048," Rosebank, Stapleton"
24102,Westerleigh
24275,College Point
24338," Maspeth, Elmhurst"
24356," Little Neck,  Douglaston, Douglas Manor"
24453,Laurelton
24464,Bellerose
24739,"Douglas Manor,  Little Neck"
24772,Manhattanville
24835,"Old Town,  Dongan Hills,  South Beach"
24996,Arden Heights
25063,Rosedale
25142,Hunts Point
25238,Arden Heights
25287,Bellerose
25409,Springfield Gardens North
25441,Springfield Gardens North
25480," Holliswood, Jamaica Estates"
25502,Rosedale
25521," Maspeth, Elmhurst"
25768,"Westchester,  Unionport"
25807," Midtown South, Midtown"
25967,Belmont
26061,"Jamaica Estates,  Holliswood"
26079,Fort Greene
26148," Howard Beach, Lindenwood"
26184,Gramercy
26375,Laurelton
26376," Huguenot,  Eltingville,  Prince's Bay"
26453," Rosebank, Stapleton"
26516,East Flushing
26583,"Pelham Bay,  Country Club,  City Island"
26711," Broad Chnl, Breezy Point,  Belle Harbor,  Rockwy Prk"
26880,Fordham South
26982,East Flushing
27135," Westchester Square,  Morris Park, Van Nest"
27140," City Island, Pelham Bay"
27204,Hunts Point
27248,"Westchester,  Unionport"
27378,Belmont
27624,East New York (Pennsylvania Ave)
27770,"Annadale,  Prince's Bay,  Eltingville,  Huguenot"
27814,Old Astoria
27860," Fieldston,  Riverdale, North Riverdale"
27873,Oakland Gardens
27957," Port Ivory,  Arlington,  Graniteville, Mariner's Harbor"
27988,Gramercy
28013,"North Riverdale,  Riverdale,  Fieldston"
28018," Belle Harbor,  Rockwy Prk, Breezy Point,  Broad Chnl"
28121,"Lindenwood,  Howard Beach"
28149,"Claremont,  Bathgate"
28237,Oakland Gardens
28260,Rego Park
28335,Fort Greene
28510,Allerton
28572,Bath Beach
28630,"Midtown,  Midtown South"
28847,Old Astoria
28903," Pelham Gardens, Allerton"
28916,Maspeth
29250,"Van Nest,  Westchester Square"
29257,Gravesend
29343,East New York (Pennsylvania Ave)
29353,Parkchester
29404,Rego Park
29436,Gravesend
29797,"Morrisania,  Melrose"
29821,Parkchester
29872, Kingsbridge
29931,Bath Beach
29938,Erasmus
30006,Pelham Parkway
