Desc,Size,Price,Colors
Bov,0,13.88," Green, Red"
Dar,2,94.3," Red,  Green, Black,  Yellow"
Deh,2,39.13,"Black,  Yellow,  Green"
Det,0,86.32," Black, Green,  Red"
Dut,1,53.46," Black, Yellow"
Fes,2,55.84," Blue,  Red, Yellow"
Fik,2,79.77,"Red,  Black"
Goh,3,24.81,"Blue,  Red"
Hag,2,33.37,"Blue,  Green"
Hic,0,32.66," Green, Yellow,  Blue"
Huc,2,25.32," Black,  Green, Yellow"
Juc,2,82.26," Red,  Black, Blue"
Keg,1,65.67," Black, Blue,  Red,  Green"
Kid,3,35.4,"Blue,  Red,  Green"
Leg,1,10.15,"Red,  Green,  Black,  Blue"
Len,1,84.06,2
Luh,0,18.57," Yellow,  Red"
Moc,3,38.34," Black, Green"
Nef,2,16.85," Blue,  Yellow, Green,  Black"
Nif,2,22.27,"Yellow,  Blue"
Nup,2,13.62,1
Pav,2,30.42," Black,  Yellow, Red"
Pec,1,47.69,1
Rif,2,29.97,0
Sep,0,46.42,2
Teb,0,92.6,"Black,  Blue"
Viv,2,32.05,Black
Vof,0,89.03," Yellow,  Red"
Wum,1,56.75,0
