count,75%,max,mean,Index,50%,min,25%
7032.0,1.0,1.0,0.5046928327645052,gender,1.0,0.0,0.0
7032.0,0.0,1.0,0.1624004550625711,SeniorCitizen,0.0,0.0,0.0
7032.0,1.0,1.0,0.4825085324232082,Partner,0.0,0.0,0.0
7032.0,1.0,1.0,0.2984926052332196,Dependents,0.0,0.0,0.0
7032.0,55.0,72.0,32.42178612059159,tenure,29.0,1.0,9.0
7032.0,1.0,1.0,0.9032992036405004,PhoneService,1.0,0.0,1.0
7032.0,1.0,1.0,0.286547212741752,OnlineSecurity,0.0,0.0,0.0
7032.0,1.0,1.0,0.3448521046643913,OnlineBackup,0.0,0.0,0.0
7032.0,1.0,1.0,0.3438566552901024,DeviceProtection,0.0,0.0,0.0
7032.0,1.0,1.0,0.2901023890784983,TechSupport,0.0,0.0,0.0
7032.0,1.0,1.0,0.3843856655290102,StreamingTV,0.0,0.0,0.0
7032.0,1.0,1.0,0.3883674630261661,StreamingMovies,0.0,0.0,0.0
7032.0,1.0,1.0,0.5927189988623436,PaperlessBilling,1.0,0.0,0.0
7032.0,89.86249999999998,118.75,64.79820819112628,MonthlyCharges,70.35,18.25,35.58750000000001
7032.0,3794.7375,8684.8,2283.300440841866,TotalCharges,1397.475,18.8,401.45
7032.0,1.0,1.0,0.2657849829351535,Churn,0.0,0.0,0.0
7032.0,1.0,1.0,0.4813708759954493,MultipleLines_No,0.0,0.0,0.0
7032.0,0.0,1.0,0.0967007963594994,MultipleLines_No phone service,0.0,0.0,0.0
7032.0,1.0,1.0,0.4219283276450511,MultipleLines_Yes,0.0,0.0,0.0
7032.0,1.0,1.0,0.3435722411831627,InternetService_DSL,0.0,0.0,0.0
7032.0,1.0,1.0,0.4402730375426621,InternetService_Fiber optic,0.0,0.0,0.0
7032.0,0.0,1.0,0.2161547212741752,InternetService_No,0.0,0.0,0.0
7032.0,1.0,1.0,0.5510523321956771,Contract_Month-to-month,1.0,0.0,0.0
7032.0,0.0,1.0,0.2093287827076222,Contract_One year,0.0,0.0,0.0
7032.0,0.0,1.0,0.2396188850967008,Contract_Two year,0.0,0.0,0.0
7032.0,0.0,1.0,0.2192832764505119,PaymentMethod_Bank transfer (automatic),0.0,0.0,0.0
7032.0,0.0,1.0,0.216296928327645,PaymentMethod_Credit card (automatic),0.0,0.0,0.0
7032.0,1.0,1.0,0.3363196814562002,PaymentMethod_Electronic check,0.0,0.0,0.0
7032.0,0.0,1.0,0.2281001137656427,PaymentMethod_Mailed check,0.0,0.0,0.0
