AUG,JUL,MAY,MAR,FEB,SEP,JAN,JUN,APR
8541,8541,8541,8541,7521,7521,9654,8541,8541
586,395,750,657,310,447,0,466,594
205.75,205.75,315.25,205.75,220.0,205.75,196.5,205.75,205.75
450,450,450,450,450,450,450,450,450
3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3
750,750,750,750,750,750,750,750,750
125,125,125,125,125,125,125,125,125
450.0,831.83,374.99,210.0,1015.0,613.98,0.0,348.92,195.0
547.9,635.09,404.2,458.61,654.28,616.85,549.53,612.26,458.61
301.9,279.64,366.07,244.77,314.9,311.99,258.36,283.21,305.61
69.23,59.72,71.43,55.82,58.94,56.84,65.23,60.48,55.82
26,34,15,35,45,22,55,16,35
