Activities,Y/N
3. Project Dependent,
2. Usually Required,
Test Cases,Y
3. Project Dependent,
Software Upgrade,
2. Usually Required,
3. Project Dependent,
Modify contract(s),
New Business Processes,
2. Usually Required,
3. Project Dependent,
Implement new online service,
Modify packaged solution,
1. Approvals,
3. Project Dependent,
Modify SLA,
New database,
Implement new non-IT service,
Modify non-IT service,
Hardware Upgrade,
1. Approvals,
2. Usually Required,
3. Project Dependent,
New Software,
French Translation,
2. Usually Required,
