Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
B Bond,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds
Barbie Cobb,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros
Burkus,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.
Cookie,KC/Pitts,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS
Drillers,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona
Guns,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants
Howie Cobb,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil
Jim P,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD
John W,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl
John and Pat,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL
Lewy,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD
M Smith,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM,Cubs/WS,Angels/LAD,Mil/Phil,Sea/Atl,TB/Arizona,KC/Pitts.,Balt/Rock,RSox/SD,Det/Flo,TX/Astros,Jays/ Wash,Twins/STL,A's/Giants,Clev/Reds,NYY/NYM
