Player Name,Points,Year
0,30,1993-94
Todd May,32,1983-84
Max Meylor,30,2015-16
1,35,1958-59
Pete Schmitt,32,2002-03
Don Peterson ,47,1980-81
0,34,1994-95
1,31,1957-58
Duane Anderson ,30,0
Tim Woller,31,1990-91
Milt Bakken,39,1955-56
Duane Anderson ,34,0
0,31,1993-94
Todd May,31,1983-84
1,36,1957-58
1,35,1957-58
0,38,1993-94
Jason Schuepbach    ,34,1995-96
Milt Bakken,34,1955-56
Mark Losby,34,2000-01
Gary Greve,30,1956-57
Jason Larson,32,2018-19
Mark Emerson,46,1971-72
1,31,1958-59
Todd May,33,1983-84
Gary Greve,35,1956-57
