correction,misspell
sherbet,sherbert
majority,majaerly
crucifixion,crucifiction
maintenance,maintanence
segments,segements
tyranny,tyrrany
losing,lossing
student,stutent
mischievous,mischievious
hello, helo
commitment, comittmen
bankrupt,bankrot
destroy,distroy
subscribed,subjecribed
up_cast,upcast
asymptote,asentote
archetype,archeype
gotten,gotton
humanity,humaniti
obfuscate,obsfuscate
existence, existance
responsible,reposable
memory,meory
embarrass, embaress
ecstasy,ecstacy
intelligent, intellagant
iterate,interate
existence,egsistence
unnatural, unnaturral
complicated,compicated
infamy,imfamy
announce,annuncio
height,heighth
site,sitte
polypropylene,polypropalene
spoke,spoak
accommodate,accomodate
oscilloscope,oscilascope
frustrating,frustartaion
environment,enviroment
fiery,firey
etiology,eitiology
caveats,cravets
psychologist, psycolagest
parameters,paramers
due,dur
throughout,thruout
discuss,discuess
consensus,concensus
prefixed,prefixt
intelligent, intellegint
prerogative,perogative
minuscule,miniscule
circle,cicle
peremptory,preemptory
psychologist,pscolgst
ward,whard
circle, circue
permissive,permmasivie
dynamic,dymatic
fantasy,famdasy
dinosaur,dinasaur
prefixes,prefices
accidentally,accidently
flux, flukse
commitment,comitmment
error,errara
coping,copping
turned,tured
government,goberment
development, develpond
anatomy,anonomy
dynamic, dynaic
exercise,excercise
maximum,maxium
favour,faver
unnatural,unatourral
tomorrow,tommorrow
parameters, paranets
acquire,equire
alcoholic,alchoholic
definite,definate
credibility,credetability
asterisk,asterick
irresistible,irresistable
intelligent,intealignt
tests,tets
critique,criqitue
psychologist, psicolagest
sense,sence
exceed,excede
isotope,isotrop
computer,comupter
particular,partrucal
extensions,extions
aggressive,aggresive
occasion,ocassion
hypothesis,hypotathes
bureaucracy,beaurocracy
in_depth,indepth
daily,daly
environmental,envireminakl
anatomy, anotomy
repetition,repitition
replacement,replasments
practical,practicle
gradually,gradualy
enough,enought
organize,organise
battalion,batallion
weaken,wicken
receive,recieve
basically,basicly
specifically,specificialy
guard,gaurd
buoyant,bouyant
sometimes,sometmes
inoculate,innoculate
explicitly, explity
Nevada,nevade
amorphous,amourfous
warlord,warloord
straitjacket,straightjacket
madness,maddness
incomplete, incomplot
psychologist, sicolagest
browse,bbrose
beginning, beging
the,teh
deities,dieties
section,secion
nuzzled,nozled
directly,direcyly
attentively,atentively
precision,precion
john,johhn
cockamamie,cocamena
occurrence,occurence
polygamy,poligamy
orient,orientate
bureaucracy, buracracy
interested, intertesd
running,runnung
desiccate,dessicate
problematic,proplematic
efforts,effots
respectfully,respecally
metaphysical,pataphysical
swimwear,swim_wear
Stephen,Steffen
caller,cauler
steering,stering
won't,wan't
hypothesis, hypotathese
likely,likly
dog,dag
miscellaneous,misilous
anoint,annoint
supersede,supercede
hello,hallo
epitome,epitomy
pursued,presued
favor,faver
download,doenload
bureau,beauro
hyphen, hyfin
independent, independenent
discussion,disssicion
beginning,beggining
simply,simplye
behavior,behaviour
test, ttest
dangerous,danguages
constant,contast
library,libary
enlightenment,enligtment
unnatural, unaturral
synchronization,syncorization
indispensable,indispensible
independent, indepnends
continue,contunie
tattoos,tattos
Susan,susan
quiz,quoz
voluntarism,volunteerism
cosmopolitan,cosmoplyton
environmental, invermeantial
nickelodeon,nickleodeon
bleat,blait
inefficient,inefficite
permissible,permissable
subpoena,subpena
naive,nieve
cemetery,cemetary
column,columne
precision, precios
graceful,gracefull
technically,techniquely
influential,influencial
simplicity,cimplicity
sugar,suger
guts,futs
ability,abilitey
than_or,thanot
monkey,minkay
version,verison
alive,allieve
under_ladder,underladder
dinosaur, dinasour
majority, majoraly
evaluation,evaualtion
necessary, necesary
dictionary,ductioneery
organize, organiz
foresee,forsee
insistent, insistenet
colloquialism,colloquilism
about,abouy
architecture, aricticure
your,youe
dangle,dongle
critique, ctitique
style_guide,styleguide
sylph,slyph
necessary, necesser
two,teo
eventually,evtually
pronunciation, pronounciation
encapsulation,encapsualtion
description, descrptn
execution,excution
pursue,persue
interpret,interpretate
sacrilegious,sacreligious
judgement,judgment
unfortunately, unfortally
monkey, monkay
phonetic,funetik
drunkenness,drunkeness
however,howaver
trouble,trubbel
cheat,cheet
indent,ident
pronunciation,pronensiation
documentation,documtations
harass,harrass
help,heellp
neighbor,neighbour
occasionally, occusionaly
initialized, initized
privilege,privielage
liquefy,liquify
elegant,elagent
pursue, presue
raccoon,reccona
hippopotamus,hippopotamous
inconvenience,inconvience
bush,buch
interface,inerface
espresso,expresso
phenomenal,phenominal
festival,fistival
politician,polation
sponsored,sponsered
rudimentary,rudemtry
room,roon
better,metter
installation,instulation
more,mroe
butter,buder
moving,oving
intelligent, intelignt
club,clob
wait,waite
fantasia,phantasia
tough,taff
committee,comitte
flattering,flatterring
independent,independant
government, gobernement
anonymous,anynomous
insistent,insistant
tunnel_like,tunnellike
congratulations,congradulations
respect,respct
crazy,crasy
occasionally,accosinly
in_case,incase
substitutions, substations
radius,radious
architecture,aratictature
development,developement
failure,failer
unfortunately, unfortunently
distort,distart
politic,politict
consonant,consident
defense,defence
yield,yeild
volley,volye
vinaigrette,vinagarette
separate,seperate
hysterical,hystrical
illegitimate,illegitament
unconstitutional,unconisitional
divulge,devulge
spell,spel
encyclopedia,encyclapidia
leisure,lesure
broccoli,brocolli
pattern,patten
however, howver
help, hellp
voluptuous,volumptuous
distract,distarct
committee, commitee
function,fuction
superfluous,superfulous
this,ths
have,havne
efficient,efficat
stomach,stumach
millennium,millenium
occupied,occuppied
uranium,uranisium
most_likely,mostlikely
appreciate,appresteate
bureaucracy, burracracy
permission,permition
dog, doog
intelligent, intellegent
desperate,desparate
generally,generly
embarrass,embarass
police,pollice
safely,saftly
liaison,liason
what,whaaat
accommodate, acommadate
theoretical, theridically
coolly,cooly
signal,singal
unintelligible,unentelegible
benefits,benidifs
expedient,exspidient
memento,momento
despair,dispair
ennui,ennuui
embarrassment,embarassment
button,buton
want,mant
hyphen, hifine
compiler,comiler
housing,houssing
by_by,byby
preceding,preceeding
fax,faxe
not_in,notin
believe, belive
description,descrption
horse,hourse
amateur,amature
factorization,factontion
butter, budr
noticeably,noticably
dependable,dependeble
immediately,imediaetly
satisfy,satifly
embed,imbed
old,olf
commercials,commerciasl
sneaked,snuck
wasting,wadting
definitely,definately
lesion,liasion
acquaintance,aquantance
hello, herlo
happily,hapily
elegant, elligit
intelligent, inteligent
simplicity, simpfilty
beginning, bigginging
phone,fone
layer,lloyer
mosaic,mosaik
customization,custamisation
roughly,rought
pronunciation, pronisation
themselves,theirselves
boycott,boygot
recommend,reccomend
that,taht
titillate,titalate
amplification,amification
sonic,soonec
accord,acord
unconscious,unconscience
properly,properally
colon,coaln
higher,higer
grammar,grammer
mouser,mousr
initial,inital
Presbyterian,presbyterian
media,midia
appreciated,appreceiated
opossum,opposim
masks,maks
niece,neice
dissipate,disippate
implements,implemtes
changing,changeing
possible,possable
engine,engins
court,courst
intelligent, intejilent
everything,evething
error, erro
no_one,noone
immanent,immenant
kilometer,lilometer
wimp,whimp
except,excpt
regardless,irregardless
distant,destint
international,internation
government, gobernment
portray,protray
utmost,upmost
resemblance,reseblence
theoretical,teridical
octogenarian,octagenarian
all_right,alright
came,gamne
mike,mic
in_fact,infact
commitment, comittmend
rank,wrank
kipper,kippur
companies,companys
several,seferal
crucified,crusifed
efficacy,efficity
kilometre,lilometer
recognize,reconise
rampantly,ramplily
automatically,autoamlly
inadvertent,inadvertant
tragedy,tradegy
parameter,parametic
constant, contastant
inventions,enventions
intelligent, intellgnt
neighbour,neighbor
writing,writting
laser,luser
rectangle,rectangeles
situation,situration
theoretically,thredically
ambivalent,ambivilant
initialized,initinized
intelligent, intelejent
asymmetric,asymetric
objects,objectsion
leave,leasve
consistent,consident
absorption,absorbtion
seize,sieze
flux,fluk
picturesque,picaresque
intelligent, intelegnent
decision,disition
committed,commited
interpreter,interpretter
hyphen, hiphine
interested,intertes
behaviour,behavior
circumstances,circumstaces
hyphen,hifin
inconvenient,inconvenant
insidious,incedious
combo,cumba
marshal,marshall
butter, budter
judgment,judgement
enhance,enhence
recurring,reoccurring
unfortunately,unformanlly
colleague,colleaque
encyclopedia, encyclopia
disagree,diagree
defence,defense
procedures,proceedures
at,ast
tomorrow, tomorow
arctic,artic
the, thw
knowing,knawing
test,tesst
explicitly,expleyly
croak,croke
draft,deaft
intelligent, intelegent
contribution,conibation
believe,beleive
scrabble,scrabdle
irritable,irritible
