Item #,On Hand,Reg.,Special,Disc. %
Shotguns,,,,
Centrefire Rifles,,,,
35202248,1.0,1375.0,1168.75,15.00000095
JRTV120,1.0,1080.0,845.0,21.76000023
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Restricted Firearms,,,,
Shotguns,,,,
Rimfire Rifles,,,,
SAV13780,2.0,250.0,220.0,12.0
SAV96901,2.0,510.0,408.0,20.0
Centrefire Rifles,,,,
Restricted Firearms,,,,
Shotguns,,,,
Restricted Firearms,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
NOS39248,2.0,2295.0,1900.0,17.20999908
Rimfire Rifles,,,,
SAV96703,2.0,570.0,456.0,20.0
Shotguns,,,,
Rimfire Rifles,,,,
Shotguns,,,,
Restricted Firearms,,,,
Centrefire Rifles,,,,
NOS39648,1.0,2295.0,1900.0,17.20999908
Shotguns,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
SAV13795,2.0,250.0,220.0,12.0
Shotguns,,,,
BEN20100,1.0,775.0,620.0,20.0
Centrefire Rifles,,,,
Restricted Firearms,,,,
Centrefire Rifles,,,,
SAV22224,1.0,600.0,500.0,16.67000008
R27107,1.0,1150.0,695.0,39.56999969
Restricted Firearms,,,,
Shotguns,,,,
MKA1919KM,1.0,1050.0,892.5,15.00000095
MKA1919,1.0,1050.0,892.5,15.00000095
Restricted Firearms,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
R27269,2.0,960.0,785.0,18.22999954
Shotguns,,,,
Rimfire Rifles,,,,
SAV40060,1.0,225.0,180.0,20.0
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Rimfire Rifles,,,,
SAV96709,3.0,360.0,288.0,20.0
Centrefire Rifles,,,,
Restricted Firearms,,,,
