Subtitle,Item #,On Hand,Reg.,Special,Disc. %
Shotguns,11403204,1.0,1595.0,1355.75,15.00000095
Centrefire Rifles,35202248,1.0,1375.0,1168.75,15.00000095
Centrefire Rifles,JRTV120,1.0,1080.0,845.0,21.76000023
Centrefire Rifles,35299226,1.0,1175.0,998.75,15.00000095
Rimfire Rifles,SAV28700,3.0,310.0,265.0,14.52000046
Centrefire Rifles,SAV19579,1.0,500.0,375.0,25.0
Restricted Firearms,W227R-45-BSS,1.0,1325.0,1150.0,13.21000004
Shotguns,A0389400,2.0,1000.0,800.0,20.0
Rimfire Rifles,SAV13780,2.0,250.0,220.0,12.0
Rimfire Rifles,SAV96901,2.0,510.0,408.0,20.0
Rimfire Rifles,SAV40203,,210.0,168.0,20.0
Centrefire Rifles,35202216,1.0,1325.0,1126.25,15.00000095
Restricted Firearms,51507490,1.0,695.0,520.0,25.18000031
Shotguns,MOS51672,1.0,820.0,656.0,20.0
Restricted Firearms,1911-22-C1,1.0,699.0,399.0,42.91999817
Rimfire Rifles,SAV96705,1.0,599.0,479.2,20.0
Centrefire Rifles,SAV22228,1.0,600.0,500.0,16.67000008
Shotguns,512298395,2.0,585.0,468.0,20.0
Centrefire Rifles,35201246,2.0,1050.0,892.5,15.00000095
Shotguns,7H31816215040,1.0,1725.0,1250.0,27.54000092
Centrefire Rifles,NOS39248,2.0,2295.0,1900.0,17.20999908
Centrefire Rifles,35202231,2.0,1375.0,1168.75,15.00000095
Rimfire Rifles,SAV96703,2.0,570.0,456.0,20.0
Rimfire Rifles,SAV45200,2.0,450.0,360.0,20.0
Shotguns,ST20000,1.0,660.0,528.0,20.0
Rimfire Rifles,SAV45110,2.0,315.0,252.0,20.0
Shotguns,FRA0426200,1.0,1495.0,1270.75,15.00000095
Restricted Firearms,51808490,1.0,690.0,515.0,25.36000061
Centrefire Rifles,NOS39648,1.0,2295.0,1900.0,17.20999908
Centrefire Rifles,R27273,1.0,960.0,785.0,18.22999954
Shotguns,MOS50460,1.0,675.0,525.0,22.21999931
Centrefire Rifles,35202229,1.0,1375.0,1168.75,15.00000095
Rimfire Rifles,SAV13795,2.0,250.0,220.0,12.0
Rimfire Rifles,SAV96712,1.0,445.0,356.0,20.0
Shotguns,BEN20100,1.0,775.0,620.0,20.0
Shotguns,BEN20071,1.0,775.0,620.0,20.0
Centrefire Rifles,TTT71RL103,1.0,1050.0,845.0,19.52000046
Restricted Firearms,G22GEN4FS,1.0,1065.0,875.0,17.84000015
Centrefire Rifles,SAV22224,1.0,600.0,500.0,16.67000008
Centrefire Rifles,R27107,1.0,1150.0,695.0,39.56999969
Centrefire Rifles,35335209,1.0,999.0,849.15,15.00000095
Restricted Firearms,G17GEN4FS,1.0,1035.0,875.0,15.46000004
Shotguns,MKA1919KM,1.0,1050.0,892.5,15.00000095
Shotguns,MKA1919,1.0,1050.0,892.5,15.00000095
Shotguns,12274204,1.0,1120.0,952.0,15.00000095
Restricted Firearms,J9A9F11,1.0,980.0,833.0,15.0
Centrefire Rifles,TH31041SS,2.0,1185.0,845.0,28.69000053
Rimfire Rifles,SAV13805,2.0,250.0,220.0,12.0
Centrefire Rifles,NOS32948,1.0,2295.0,1900.0,17.20999908
Rimfire Rifles,RUG1121,1.0,775.0,600.0,22.57999992
Centrefire Rifles,R27269,2.0,960.0,785.0,18.22999954
Centrefire Rifles,JRTV141,2.0,1125.0,895.0,20.44000053
Shotguns,R25012,1.0,995.0,796.0,20.0
Rimfire Rifles,SAV40060,1.0,225.0,180.0,20.0
Rimfire Rifles,UB2200,1.0,815.0,675.0,17.18000031
Centrefire Rifles,SAVAXIS06,2.0,500.0,375.0,25.0
Rimfire Rifles,21001102,1.0,830.0,725.0,12.64999962
Centrefire Rifles,35336209,1.0,1325.0,1126.25,15.00000095
Shotguns,12271204,1.0,1095.0,930.75,15.00000095
Centrefire Rifles,R84078,1.0,1150.0,695.0,39.56999969
Shotguns,20051,1.0,595.0,476.0,20.0
Rimfire Rifles,SAV96709,3.0,360.0,288.0,20.0
Rimfire Rifles,H003T,1.0,680.0,480.0,29.40999985
Centrefire Rifles,K3000814,1.0,2099.0,1700.0,19.01000023
Restricted Firearms,G21GEN4FS,1.0,1175.0,950.0,19.14999962
