Thematic,Milestones,Status,Need for Technical Assistance?,Financial Support needed,Priority,Supporting Attachment (to be uploaded in the specified link),Indicator it corresponds to
0,Plan,0,0,0,0,0,A
0,Structure + Membership,0,0,0,0,0,0
0,Training + Capacity Building,0,0,0,0,0,F
1,0,0,0,0,0,0,2
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,"I, M, K, G, P, J"
1,Membership Renewal Calendar,0,0,0,0,0,2
1,Plan composition (number and repartition),0,0,0,0,0,2
2,Implementation (including signature of COI forms),0,0,0,0,0,3
3,0,0,0,0,0,0,0
3,Conduct Structural reform,0,0,0,0,0,0
4,Civil Society and Private Sector,0,0,0,0,0,1
4,Partners,0,0,0,0,0,1
