Index,count,mean,std,min,25%,50%,75%
feature_8,1200.0,0.1238375099375358,0.9869407558397272,-3.5999528898281405,-0.5302807905607982,0.1559134620846001,0.7816174103394402
feature_17,1200.0,0.0683417500639123,1.900225742585468,-6.935910017345276,-1.2413081347297727,0.0877869440886609,1.3405636500434892
feature_19,1200.0,-0.7471408781761119,2.7938028200108365,-9.86004440035872,-2.666885044436455,-0.7489449145145839,1.1187073912684145
feature_14,1200.0,0.6496456110360552,1.8696007457121373,-5.833411754440237,-0.6648222270867582,0.5818412597199094,1.9527075906457445
feature_10,1200.0,0.0989935171090012,1.0024582020545418,-3.134555986515037,-0.5984767704064529,0.1033724714360629,0.7893461390034477
feature_16,1200.0,-0.7471408781761119,2.7938028200108365,-9.86004440035872,-2.666885044436455,-0.7489449145145839,1.1187073912684145
feature_3,1200.0,0.4697134264131282,3.3121292342034914,-10.323059456364934,-1.6890150565666278,0.5848517066392174,2.581295437979767
feature_5,1200.0,0.6961257351110464,2.0787724548067104,-6.013839431736589,-0.6371285488985584,0.7257941073928625,2.1169040858689954
feature_18,1200.0,0.1069225372249948,2.1761467214341583,-7.405919406413733,-1.3658995525363615,0.1258605017094855,1.6103296854444689
feature_9,1200.0,0.1313663950958975,1.0206292744428929,-3.354130582057377,-0.5508043374081996,0.1326409435817149,0.8209779955884705
feature_15,1200.0,0.0779178331696463,1.0131336755216318,-3.0203886665060367,-0.614358872816126,0.0958856715361728,0.7564995752498124
