Player Name,Points,Year
Milt Bakken,39,1955-56
Milt Bakken,32,1955-56
Todd May,31,1983-84
1,31,1958-59
0,38,1993-94
0,38,1994-95
0,31,1993-94
Don Peterson ,47,1980-81
Mark Losby,34,2000-01
0,34,1994-95
Duane Anderson ,34,0
1,38,1958-59
Jason Larson,32,2018-19
Jordan Schultz,32,2004-05
0,30,1994-95
Matt Kleppe,30,1999-00
Duane Anderson ,30,0
Pete Schmitt,32,2002-03
Todd May,32,1983-84
1,35,1957-58
Tim Woller,31,1990-91
Mark Emerson,46,1971-72
0,33,1994-95
Max Meylor,31,2015-16
Jason Schuepbach    ,34,1995-96
1,35,1958-59
Gary Greve,35,1956-57
1,31,1958-59
