1,1,1,1,1,1,1
Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
"Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free"
37 m2,34 m2,64 m2,25 m2, 64 m2,45 m2,80 m2
0,0,0,0,0,0,0
Bedroom and Bathroom,Bedroom and Bathroom,Bedroom/ Living Room / Bathroom,Bedroom and Bathroom,Bedroom / Living room / Bathroom,Bedroom Relax corner / Bathroom,Bedroom / Living Room / Dinning Room/
Both,Both,Both,Both,Both,Both,Both
1,1,1,1,1,1,1
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,2,1,2,1,2
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,1
1,1,2,1,2,2,2
1,1,1,1,1,1,1
Double Balcony,Double No Balcony,Deluxe Suite,Single Room,Suite,Studio,Presidential Suite
2,2,2,2,2,2,2
Twin beds or King (twin connected),Twin beds or King (twin connected),King,Double bed (bedroom),King (twin connected),King (twin connected),Round bedroom
1,1,1,1,1,1,1
1,1,1,0,1,1,1
2+1,2+1,2,1,3+1,2+2,2
3,3,3,3,3,3,3
0,0,0,0,0,0,0
Carpet,Carpet,Carpet,Carpet,Carpet,Carpet,Carpet
3,3,3,3,3,3,3
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
68,102,5,5,11,17,1
1,0,1,1,1,0,1
1,1,1,1,2,1,2
1,1,1,1,1,1,1
