Native American,Column1,Dollars,M/F,Prime,Districts
S.T. RHOADES,-4142.0,2167900.0,1,5,1
S.T. RHOADES,-4142.0,2167900.0,1,5,2
SAMS EQUIPMENT ,43.0,83205.0,1,1,1
FORCE TRAFFIC CONTROL,-4142.0,385930.0,1,2,10
KRC SAFETY COMPANY,-4142.0,4475589.5,1,10,4
ADANTA INC,-4142.0,9750.0,0,5,10
DISABLED AMERICAN VETERAN,33.0,1888728.8,1,2,5
SPIRIT ROAD OILS,NaN,15981.38,0,2,5
DISABLED AMERICAN VETERAN,33.0,1888728.8,1,2,10
CREST EQUIPMENT INC,-4142.0,140000.0,0,1,11
FORCE TRAFFIC CONTROL,-4142.0,385930.0,1,2,9
ADANTA INC,-4142.0,9750.0,0,5,5
KRC SAFETY COMPANY,-4142.0,4475589.5,1,10,8
GLOBAL TRANSLOADING,43.0,6120.0,0,1,7
KRC SAFETY COMPANY,-4142.0,4475589.5,1,10,3
RAPER ELCETRICAL ,33.0,221018.91,1,3,3
