Restaurant_id,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,ID_TA
id_793,Dublin,  European,794,5.0,$$ - $$$,8.0,d13172414
id_499,Lyon,Other,500,4.5,NaN,45.0,d7623654
id_3658,Lisbon,Other,3663,2.5,NaN,7.0,d1093837
id_5,Geneva,  Swiss,6,4.5,$$ - $$$,1222.0,d751711
id_13815,London,  South American,13825,3.5,$,28.0,d2176100
id_270,Vienna,  Italian,271,4.0,$$ - $$$,384.0,d2021717
id_1394,Dublin,Chinese,1398,4.5,NaN,2.0,d5812483
id_1275,Rome,  Pub,1276,4.0,$$ - $$$,377.0,d2439603
id_194,Munich,Cafe,196,4.0,$$ - $$$,106.0,d4818393
id_482,Geneva,  European,485,4.5,$$$$,12.0,d10288341
id_52,Dublin,  Seafood,53,4.5,$$ - $$$,1820.0,d2259146
id_2620,London,  Gluten Free Options,2625,4.0,$$ - $$$,372.0,d3192453
id_4073,Barcelona,Mediterranean,4074,3.5,$$ - $$$,26.0,d12441400
id_13016,London,Bar,13026,3.5,$$ - $$$,52.0,d2508041
id_301,Berlin,  Asian,302,4.5,$$$$,132.0,d7908111
id_2045,Madrid,  South American,2047,4.5,$$ - $$$,20.0,d10302313
id_1239,Rome,  Seafood,1240,4.0,$$ - $$$,302.0,d4023512
id_1409,Budapest,French,1410,5.0,NaN,NaN,d13197631
id_6678,Madrid,  Spanish,6681,3.5,$$ - $$$,13.0,d10383695
id_1239,Rome,  Gluten Free Options,1240,4.0,$$ - $$$,302.0,d4023512
id_2769,Milan,  Pizza,2771,3.5,$$ - $$$,346.0,d1097475
id_3462,Barcelona,Other,3463,4.5,NaN,11.0,d10039662
id_56,Dublin,  Pub,57,4.5,$$ - $$$,3491.0,d1884058
id_5209,Rome,Japanese,5210,5.0,$$ - $$$,2.0,d13322935
id_822,Hamburg,  Spanish,823,4.0,$$ - $$$,34.0,d878520
id_430,Krakow,  Central European,431,4.5,$,38.0,d8425435
id_2098,Barcelona,  Vegetarian Friendly,2099,4.0,$,41.0,d7952588
id_714,Edinburgh,  Vegan Options,715,4.5,$,42.0,d8713635
id_451,Bratislava,  Pub,452,3.0,$$ - $$$,178.0,d2085183
id_352,London,  Grill,353,4.5,$$$$,688.0,d8632781
id_661,Barcelona,  Gluten Free Options,662,3.5,$$ - $$$,1332.0,d1137212
id_5013,Paris,  Vietnamese,5014,4.0,$$$$,116.0,d719923
id_8222,London,Other,8231,5.0,NaN,7.0,d9781450
id_13354,London,  Thai,13364,4.0,$,34.0,d3192609
id_2089,Milan,  Seafood,2091,4.5,$$ - $$$,103.0,d2701946
id_3260,Prague,  Czech,3267,4.0,NaN,4.0,d5308351
id_707,Edinburgh,  Vegetarian Friendly,708,4.0,$$ - $$$,121.0,d2390091
id_4196,Barcelona,  Pub,4197,5.0,$$ - $$$,NaN,d12572658
id_4693,London,  Mexican,4701,4.0,$$ - $$$,185.0,d1906552
id_639,Budapest,American,640,4.0,$$ - $$$,93.0,d1489269
