Restaurant_id,City,Ranking,Rating,Price Range,Number of Reviews,ID_TA,Cuisine Style
id_1,Zurich,2,4.5,$$ - $$$,418.0,d10169867,"  Asian,   Gluten Free Options,   Vegan Options,   Vegetarian Friendly, Indian"
id_1000,Oporto,1001,4.5,NaN,5.0,d12336001,Other
id_10032,Paris,10034,4.5,NaN,2.0,d1035491,Other
id_1004,Budapest,1005,5.0,NaN,17.0,d3685490,"European,   Central European"
id_10057,Paris,10059,4.5,NaN,4.0,d2040769,Other
id_101,Helsinki,102,4.0,$$ - $$$,231.0,d3456729,"Italian,   European,   Vegetarian Friendly"
id_1010,Berlin,1012,3.5,$$ - $$$,440.0,d1507237,"  Thai,   Gluten Free Options,   Vietnamese,   Vegan Options,   Vegetarian Friendly, Asian"
id_1010,Hamburg,1012,4.5,NaN,9.0,d1347837,Other
id_1012,Helsinki,1013,3.0,NaN,19.0,d3345223,"  Sushi,   Asian"
id_10142,London,10151,4.0,NaN,5.0,d12391114,Other
id_10157,London,10166,5.0,$$ - $$$,4.0,d9602787,"Lebanese,   Mediterranean"
id_10177,Paris,10179,4.0,NaN,9.0,d1336101,Italian
id_1018,Brussels,1019,4.5,NaN,45.0,d5599563,Other
id_1025,Warsaw,1026,4.5,NaN,3.0,d12685574,Other
id_10299,Paris,10301,4.0,NaN,4.0,d7147205,Mediterranean
id_10305,London,10314,4.0,$,13.0,d8463851,"Japanese,   Sushi"
id_1033,Dublin,1035,3.5,$$ - $$$,230.0,d1553821,"  International, Irish"
id_1033,London,1035,4.5,$$ - $$$,193.0,d8599829,"  Middle Eastern,   Gluten Free Options,   European"
id_10343,Paris,10345,3.5,NaN,6.0,d12681857,Other
id_10356,London,10365,3.5,$$ - $$$,65.0,d2001507,"Fast Food,   Portuguese"
id_10381,Paris,10383,4.0,$$ - $$$,3.0,d12571297,Bar
id_1040,Budapest,1041,4.5,$,14.0,d10354665,"  European, Fast Food"
id_1041,Stockholm,1042,4.0,NaN,37.0,d3529487,"  Swedish, Cafe"
id_1048,Paris,1049,4.5,$$$$,281.0,d719083,"  European, French"
id_10665,London,10675,4.0,NaN,7.0,d10677156,Other
id_1069,Dublin,1072,4.5,$$ - $$$,17.0,d5536153,"  Sushi,   Asian, Japanese"
id_1076,Warsaw,1077,5.0,$,2.0,d12018194,"  Fusion, Polish,   European"
id_10781,London,10791,4.5,$$ - $$$,17.0,d787024,"  Halal, Turkish,   Middle Eastern"
id_1079,Lisbon,1080,4.0,$$ - $$$,167.0,d2703359,"  Portuguese, Seafood,   European"
id_108,Hamburg,109,4.0,$$ - $$$,371.0,d1353540,"  Gastropub,   Bar,   Central European"
id_10876,London,10886,4.0,$$ - $$$,20.0,d4185485,"  Balti,   Asian, Indian"
id_1089,Lyon,1090,4.0,$$ - $$$,22.0,d10389470,French
id_11082,Paris,11084,3.5,$$ - $$$,36.0,d1327268,American
id_111,Edinburgh,112,4.5,$$ - $$$,1951.0,d1186842,"  Vegetarian Friendly, Bar,   British,   European,   Vegan Options"
id_111,Ljubljana,112,4.5,$,30.0,d5965027,"  Vegetarian Friendly,   Asian"
