Subtitle,Lamp Type,CLER,PLC,TFI,SAPN
LED-V,LED79,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED-V,LED80_R,18.51858543835944,60.14142201239346,98.82493569700917,140.56722273389846
LED-P,LED26,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,LED155,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED-V,LED158,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED-V,LED80,17.507803882461985,59.18938136447272,88.65894174607953,120.15818922234101
LED-P,LED29,16.30048146847337,58.0522217016785,75.86568778031516,94.73186044625963
LED-V,LED175,18.490508172917835,60.1149764388401,96.27758145643415,136.38211220212827
LED-V,LED200,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-V,LED105,21.466698309726976,62.91820723549561,119.35117600779392,185.5186435872461
LED-P,LED46,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,LED90,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-V,LED101,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED-V,LED81,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED-P,LED34,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,LED117,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED-V,LED150,17.507803882461985,59.18938136447272,88.65894174607953,120.15818922234101
LED-V,LED198,21.466698309726976,62.91820723549561,119.35117600779392,185.5186435872461
LED-V,LED70,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-P,LED17_R,16.195191723067385,57.95305080085343,77.37908377448487,96.71736735225277
LED-P,PT LED17,21.31929266615861,62.779367974340495,114.77516915819777,177.58631652521674
LED-V,LED298,21.466698309726976,62.91820723549561,119.35117600779392,185.5186435872461
LED-P,LED39,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-P,LED17,16.167114457625786,57.92660522730008,74.83172953390991,92.53225682048256
LED-P,LED28,19.54340562697768,61.106685447090854,101.00719882448546,148.2675990829317
LED-V,LED150_R,17.500784566101586,59.18276997108438,90.93420171128471,123.76501936077094
LED-P,LED18,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-P,,,,,
LED-V,LED178,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-P,LED20,19.54340562697768,61.106685447090854,101.00719882448546,148.2675990829317
LED-V,LED72,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-P,LED35,19.54340562697768,61.106685447090854,101.00719882448546,148.2675990829317
LED-P,LED43,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,LED60,17.33232097345201,59.024096529764265,87.29847036923049,117.25609660021992
LED-P,LED23,19.89437144499762,61.43725511650778,103.72814157818355,154.06109367175424
LED-V,LED88,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
