PROJECT,Item,Quantity Required,Price
SECRET MESSAGES,Children's dictionary,1,11.39
EXPLORE WATER,Plastic cups,2 per bin,2.58
GLURCH,White glue,2 cups,2.0
EXPLORING MY LIGHT SENSORS,Paper,5,
RING AND PIN,Recycled items (see preparation),3,
INVENTIONS: BAG OF JUNK,Screwdriver,2,3.69
,Hammers,2,5.95
GLURCH,Borax powder,2 teaspoons,3.97
SAND PAPER ART,copy paper,9,
OOBLECK,Lego pieces,(from site),
CUBIST COLLAGE,Old magazines,6,
OOBLECK,drinking straws,1/2 package,2.0
GLURCH,Paper bowls,5,2.17
EXPLORING MY LIGHT SENSORS,"Colored pencils, markers, or crayons",8,
ENVIROLOPES,Letter-sized envelopes ,0,2.5
CUBIST COLLAGE,Cardstock,1 piece per child,
SCRATCH & SNIFF NAMETAGS,Jello-O,3 colors per 10 kids,5.29
GLURCH,Food coloring,1,3.65
SECRET MESSAGES,Mirror,1,4.94
ENVIROLOPES,Yarn (optional),0,2.97
EXPLORE WATER,Turkey baster,4,3.75
OOBLECK,egg carton,1 (donation),
,bar of soap,1,2.0
ENVIROLOPES,Glue sticks,1,1.42
EXPLORE WATER,Empty soap dispensers ,(donation) 1 per bin,
OOBLECK,bubble wrap,1 foot,5.44
SAND PAPER ART,60 grit sandpaper,1 sheet per project,
EXPLORE WATER,Pipettes or eyedroppers,3 per bin,4.94
RING AND PIN,String,1,
SAND PAPER ART,wax paper ,9,
SCRATCH & SNIFF NAMETAGS,Lined Name Cards,5,3.36
RING AND PIN,Popscicle sticks,7,
CUBIST COLLAGE,Glue/tape,8,2.0
SAND PAPER ART,crayons,2 boxes,
EXPLORE WATER,Empty bin,2,
,Soda bottles,3,
OOBLECK,Small drinking cups,5,2.0
SECRET MESSAGES,Crayons,1,2.94
INVENTIONS: BAG OF JUNK,"Broken clocks, equipment","(Petty cash, donation)",
SMELLS LIKE,Cotton balls,1,2.9
SCRATCH & SNIFF NAMETAGS,Small cups,3 per Jell-O,2.97
EXPLORE WATER,Funnel,4,0.89
