max,mean,50%,std,Index,count,min,25%,75%
1.0,0.4402730375426621,0.0,0.4964551736124986,InternetService_Fiber optic,7032.0,0.0,0.0,1.0
1.0,0.2396188850967008,0.0,0.4268812352987827,Contract_Two year,7032.0,0.0,0.0,0.0
1.0,0.1624004550625711,0.0,0.3688439967571051,SeniorCitizen,7032.0,0.0,0.0,0.0
1.0,0.2901023890784983,0.0,0.4538416944717606,TechSupport,7032.0,0.0,0.0,1.0
72.0,32.42178612059159,29.0,24.545259709263252,tenure,7032.0,1.0,9.0,55.0
118.75,64.79820819112628,70.35,30.08597388404984,MonthlyCharges,7032.0,18.25,35.58750000000001,89.86249999999998
1.0,0.4825085324232082,0.0,0.4997294886907991,Partner,7032.0,0.0,0.0,1.0
1.0,0.5510523321956771,1.0,0.4974222004539452,Contract_Month-to-month,7032.0,0.0,0.0,1.0
1.0,0.2281001137656427,0.0,0.4196373361452227,PaymentMethod_Mailed check,7032.0,0.0,0.0,0.0
1.0,0.0967007963594994,0.0,0.2955709320291018,MultipleLines_No phone service,7032.0,0.0,0.0,0.0
1.0,0.4813708759954493,0.0,0.4996883660837622,MultipleLines_No,7032.0,0.0,0.0,1.0
1.0,0.3438566552901024,0.0,0.4750277308912676,DeviceProtection,7032.0,0.0,0.0,1.0
1.0,0.3448521046643913,0.0,0.4753538301712343,OnlineBackup,7032.0,0.0,0.0,1.0
1.0,0.3843856655290102,0.0,0.4864843074333494,StreamingTV,7032.0,0.0,0.0,1.0
1.0,0.2984926052332196,0.0,0.45762927299583706,Dependents,7032.0,0.0,0.0,1.0
1.0,0.2192832764505119,0.0,0.4137903698282622,PaymentMethod_Bank transfer (automatic),7032.0,0.0,0.0,0.0
1.0,0.9032992036405004,1.0,0.2955709320291018,PhoneService,7032.0,0.0,1.0,1.0
8684.8,2283.300440841866,1397.475,2266.7713618831453,TotalCharges,7032.0,18.8,401.45,3794.7375
1.0,0.2093287827076222,0.0,0.4068584317786347,Contract_One year,7032.0,0.0,0.0,0.0
1.0,0.3435722411831627,0.0,0.4749341352656061,InternetService_DSL,7032.0,0.0,0.0,1.0
1.0,0.3363196814562002,0.0,0.472483332716697,PaymentMethod_Electronic check,7032.0,0.0,0.0,1.0
1.0,0.286547212741752,0.0,0.4521802563790777,OnlineSecurity,7032.0,0.0,0.0,1.0
1.0,0.3883674630261661,0.0,0.4874135421768257,StreamingMovies,7032.0,0.0,0.0,1.0
1.0,0.216296928327645,0.0,0.4117483168573753,PaymentMethod_Credit card (automatic),7032.0,0.0,0.0,0.0
1.0,0.5046928327645052,1.0,0.5000135308251334,gender,7032.0,0.0,0.0,1.0
1.0,0.4219283276450511,0.0,0.4939023222194599,MultipleLines_Yes,7032.0,0.0,0.0,1.0
1.0,0.2657849829351535,0.0,0.4417817113525549,Churn,7032.0,0.0,0.0,1.0
