ranking,rating,reviews_number,cuisine_style
1.0,4.5,165.0," Gluten Free Options,  Scandinavian,  Swedish,  Vegan Options, European,  Vegetarian Friendly"
1.0,4.5,578.0," Norwegian,  Vegan Options,  Vegetarian Friendly,  Scandinavian,  European, Contemporary"
1.0,5.0,103.0,"Italian,  Gluten Free Options,  Mediterranean,  Vegetarian Friendly"
1.0,5.0,108.0,"Thai,  Gluten Free Options,  Vegan Options,  Vegetarian Friendly,  Asian"
1.0,5.0,136.0," European, French,  Dutch"
1.0,5.0,146.0,"Cafe,  Vegan Options,  Vegetarian Friendly,  Middle Eastern,  Persian,  Gluten Free Options"
1.0,5.0,171.0," Cafe,  European,  Vegan Options,  Gluten Free Options, Polish,  Vegetarian Friendly"
1.0,5.0,241.0," Vegan Options,  International,  Vegetarian Friendly,  Central European, Austrian,  European"
1.0,5.0,263.0," British,  Scottish, European"
1.0,5.0,327.0," Vegan Options,  Pub,  Gluten Free Options,  Vegetarian Friendly,  Healthy, Bar,  Brazilian"
1.0,5.0,347.0," Gluten Free Options, French,  European,  Vegan Options,  Vegetarian Friendly"
1.0,5.0,352.0," Contemporary,  Spanish,  Gluten Free Options, Mediterranean,  Vegan Options,  European,  Vegetarian Friendly"
1.0,5.0,373.0," Mediterranean,  Halal,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options,  Middle Eastern, Lebanese"
1.0,5.0,409.0,Italian
1.0,5.0,4437.0," Mediterranean,  Hungarian, Italian,  European,  Vegetarian Friendly,  Gluten Free Options"
2.0,4.5,282.0," Mediterranean,  European,  Gluten Free Options,  Vegetarian Friendly, Italian,  Vegan Options"
2.0,4.5,412.0," Scandinavian,  Gluten Free Options,  Norwegian, European,  Vegetarian Friendly"
2.0,4.5,418.0," Gluten Free Options,  Asian, Indian,  Vegan Options,  Vegetarian Friendly"
2.0,4.5,543.0," Vegetarian Friendly, French,  European"
2.0,4.5,549.0,"European,  Vegetarian Friendly,  Gluten Free Options,  Vegan Options,  Scandinavian,  Swedish"
2.0,4.5,785.0," Gluten Free Options, Austrian,  Vegetarian Friendly,  Central European,  European"
2.0,4.5,1724.0," Vegetarian Friendly,  Spanish, International,  Gluten Free Options,  Contemporary,  Vegan Options,  European"
2.0,5.0,377.0," Gluten Free Options, Indian,  Vegetarian Friendly,  Vegan Options"
2.0,5.0,772.0," Scottish, European,  Vegan Options,  British,  Vegetarian Friendly,  Gluten Free Options"
3.0,4.5,357.0,"Polish,  Central European,  Vegetarian Friendly,  Vegan Options,  European,  Gluten Free Options,  International"
