MAY,JAN,MAR,SEP,JUN,AUG,JUL,APR,FEB
8541,9654,8541,7521,8541,8541,8541,8541,7521
750,0,657,447,466,586,395,594,310
315.25,196.5,205.75,205.75,205.75,205.75,205.75,205.75,220.0
450,450,450,450,450,450,450,450,450
750,750,750,750,750,750,750,750,750
125,125,125,125,125,125,125,125,125
374.99,0.0,210.0,613.98,348.92,450.0,831.83,195.0,1015.0
404.2,549.53,458.61,616.85,612.26,547.9,635.09,458.61,654.28
366.07,258.36,244.77,311.99,283.21,301.9,279.64,305.61,314.9
71.43,65.23,55.82,56.84,60.48,69.23,59.72,55.82,58.94
15,55,35,22,16,26,34,35,45
