Index,imdb_id,genres
168,tt2467046,"Thriller,  Action"
276,tt0448011," Drama,  Mystery,  Science Fiction,  Adventure, Action"
330,tt1095217, Crime
336,tt0375568," Science Fiction,  Action"
392,tt0963966,"Fantasy,  Adventure,  Drama"
687,tt0814022,"Action,  Crime"
727,tt1502404,"Fantasy,  Action,  Thriller"
764,tt1071875," Thriller,  Fantasy"
784,tt0479997, Action
825,tt1674784," Drama, Crime,  Thriller"
833,tt1214962," Drama,  Thriller"
914,tt0268126," Drama,  Crime"
921,tt0245562, History
1033,tt1656186," Thriller,  Crime"
1224,tt0481499, Comedy
1346,tt0399295, Thriller
1473,tt0429589," Adventure,  Comedy,  Family,  Animation, Fantasy"
1509,tt0469641," Thriller,  History"
1568,tt0368891, Thriller
1675,tt0465234," Thriller, Action,  Adventure,  Mystery"
1683,tt0259324,"Thriller,  Horror"
1818,tt0187078,"Action,  Crime"
1838,tt0218967," Drama,  Fantasy,  Romance"
