"10 -
< 20","50 -
< 100","20 -
< 30",Hill Farms,>= 100,"2 -
< 10","30 -
< 50"
48,23,41,25,2,10,60
7.8,1.0,5.3,2.3,0.1,3.0,3.3
56.1,52.7,51.6,49.1,0.0,52.8,49.5
58.3,78.3,73.2,59.6,0.0,50.0,76.7
6.3,0.0,2.4,7.0,0.0,10.0,1.7
33.3,21.7,24.4,26.5,0.0,40.0,21.7
3.31,3.83,3.32,3.56,0.0,3.3,3.9
1.33,1.48,1.17,1.44,0.0,1.2,1.6
50.0,56.5,48.8,44.8,0.0,50.0,65.0
0.48,0.96,0.71,0.65,0.0,0.8,0.85
39.6,69.6,51.2,48.6,0.0,50.0,53.3
72.9,91.3,75.6,81.5,0.0,80.0,86.7
52.1,56.5,63.4,75.8,0.0,50.0,65.0
47.9,26.1,53.7,64.6,0.0,50.0,46.7
14.6,47.8,29.3,24.4,0.0,10.0,38.3
0.33,0.09,0.22,0.15,0.0,0.4,0.07
27.1,4.3,17.1,14.7,0.0,30.0,5.0
0.25,0.04,0.12,0.25,0.0,0.3,0.05
20.8,4.3,12.2,25.5,0.0,30.0,5.0
