popularity,release_date,title,year,pg_rating,imdb_id,runtime,imdb_rating,votes,gross_us,month,genre
1.411,11/16/1990,Home Alone,1990,PG,99785,103,7.6,490388,285.76,11,"Comedy,  Family"
4.976,8/26/2010,In a Better World,2010,R,1340107,118,7.6,38550,1.01,8," Romance, Drama"
5.055,8/24/2007,"4 Months, 3 Weeks and 2 Days",2007,Not Rated,1032846,113,7.9,56784,1.19,8,Drama
5.539,9/20/2013,The Lunchbox,2013,PG,2350496,104,7.8,50730,4.23,9,"Drama,  Romance"
5.624,9/12/2006,This Is England,2006,Not Rated,480025,101,7.7,115835,0.33,9," Drama, Crime"
6.01,9/8/2001,No Man's Land,2001,R,283509,98,7.9,44779,1.06,9," War, Comedy,  Drama"
6.053999999999999,8/7/2004,Nobody Knows,2004,PG-13,408664,141,8.1,25026,0.68,8,Drama
6.119,2/20/1997,Knockin' on Heaven's Door,1997,Not Rated,119472,87,8.0,27810,0.0,2,"Action,  Comedy,  Crime"
6.169,12/3/2015,Land of Mine,2015,R,3841424,100,7.8,35777,0.44,12," War,  History, Drama"
6.229,2/24/2006,After the Wedding,2006,R,457655,120,7.7,32091,0.41,2,Drama
6.285,2/8/1960,The Virgin Spring,1960,Not Rated,53976,89,8.1,26799,1.53,2,Drama
6.412000000000001,10/7/1987,Au Revoir les Enfants,1987,PG,92593,104,8.0,31270,4.54,10," War, Drama"
6.466,7/17/2015,Bajrangi Bhaijaan,2015,Not Rated,3863552,163,8.0,72511,8.18,7," Comedy, Action,  Adventure"
6.494,9/2/1994,Once Were Warriors,1994,R,110729,102,7.9,31666,2.2,9,"Crime,  Drama"
6.542000000000001,9/12/2002,The Magdalene Sisters,2002,R,318411,114,7.7,25990,4.89,9,Drama
6.546,10/26/1967,Wait Until Dark,1967,Not Rated,62467,108,7.8,27812,17.55,10,Thriller
6.569,6/17/2015,Mustang,2015,PG-13,3966404,97,7.6,35921,0.85,6,Drama
6.5760000000000005,5/26/1976,The Tenant,1976,R,74811,126,7.7,40064,1.92,5," Thriller, Drama"
6.789,5/16/2003,Evil,2003,Not Rated,338309,113,7.8,35745,0.02,5,Drama
6.79,9/23/2011,Once Upon a Time in Anatolia,2011,Not Rated,1827487,157,7.9,42268,0.14,9," Drama, Crime"
6.881,5/17/2013,The Past,2013,PG-13,2404461,130,7.8,45110,1.33,5,"Drama,  Mystery"
6.9270000000000005,11/15/1935,A Night at the Opera,1935,Passed,26778,96,7.9,30637,2.54,11," Music, Comedy,  Musical"
6.949,12/16/1979,All That Jazz,1979,R,78754,123,7.9,28334,37.82,12,"Drama,  Musical,  Music"
7.006,10/21/1970,The Conformist,1970,R,65571,113,8.0,27251,0.54,10,Drama
7.0120000000000005,12/8/1982,The Verdict,1982,R,84855,129,7.7,36248,54.0,12,Drama
7.101,6/13/2014,Winter Sleep,2014,Not Rated,2758880,196,8.1,46852,0.17,6,Drama
7.236000000000001,9/13/2012,Barfi!,2012,Not Rated,2082197,151,8.1,75936,2.8,9," Romance,  Drama, Comedy"
7.27,11/20/1998,Central Station,1998,R,140888,110,8.0,36554,5.6,11,Drama
7.296,3/1/1985,The Purple Rose of Cairo,1985,PG,89853,82,7.7,47214,10.63,3," Romance,  Fantasy, Comedy"
7.2989999999999995,8/23/2013,Short Term 12,2013,R,2370248,96,8.0,82089,1.01,8,Drama
7.432,5/15/1991,The Double Life of Véronique,1991,R,101765,98,7.8,42692,2.0,5,"Drama,  Music,  Fantasy"
7.452999999999999,11/9/2005,Joyeux Noel,2005,PG-13,424205,116,7.7,28046,1.05,11," Music, Drama,  History"
7.457999999999999,12/29/2003,Tokyo Godfathers,2003,PG-13,388473,92,7.8,31874,0.13,12,"Animation,  Comedy,  Adventure"
7.471,10/3/1971,The Last Picture Show,1971,R,67328,118,8.0,42764,29.13,10," Romance, Drama"
7.499,5/16/1968,The Odd Couple,1968,G,63374,105,7.7,31689,44.53,5,Comedy
7.545,10/9/2012,The Broken Circle Breakdown,2012,Not Rated,2024519,111,7.7,39473,0.18,10," Music,  Romance, Drama"
7.718999999999999,2/10/2016,The Innocents,1961,Not Rated,55018,100,7.8,27109,2.62,2,Horror
