unique,count,top,freq,Index
204.0,208.0,10.0973,2.0,saaa2
194.0,208.0,92.58944,3.0,vsa_hyd
146.0,208.0,0.0,47.0,sadh1
206.0,208.0,1.1989,2.0,fpsa2
206.0,208.0,6.1777,2.0,sum_absolute_charge
194.0,208.0,0.1307,3.0,saaa3
11.0,208.0,0.0,73.0,vsa_don
155.0,208.0,0.0,44.0,mchg
38.0,208.0,0.0,83.0,peoe_vsa.3
21.0,208.0,0.0,74.0,slogp_vsa8
180.0,208.0,-0.0072,3.0,scaa3
206.0,208.0,-191.933395,2.0,wnsa2
189.0,208.0,0.0466,3.0,tcpa
45.0,208.0,0.0,39.0,slogp_vsa4
198.0,208.0,0.6337,2.0,fpsa1
178.0,208.0,0.0,9.0,n_sp3
13.0,208.0,3.0,42.0,ub
206.0,208.0,-13.6734,2.0,wnsa3
38.0,208.0,0.0,81.0,smr_vsa4
205.0,208.0,1.6084,2.0,dipole_moment
206.0,208.0,166.386795,2.0,wpsa2
66.0,208.0,0.0,23.0,peoe_vsa.1.1
133.0,208.0,38.03,15.0,tpsa.1
92.0,208.0,24.50981,25.0,peoe_vsa.0.1
194.0,208.0,0.081,4.0,rpcg
20.0,208.0,0.0,81.0,peoe_vsa.5.1
206.0,208.0,1664.508423,2.0,dpsa2
190.0,208.0,-0.0509,3.0,fnsa3
205.0,208.0,2.099,2.0,clogp
54.0,208.0,0.0,59.0,slogp_vsa5
206.0,208.0,4.8147,2.0,hardness
200.0,208.0,2.764,2.0,logp.o.w.
101.0,208.0,0.0,99.0,o_sp2
46.0,208.0,0.0,69.0,smr_vsa2
19.0,208.0,0.0,44.0,rdta
152.0,208.0,0.0,44.0,chdh1
127.0,208.0,7.6,8.0,andrewbind
3.0,208.0,0.0,201.0,vsa_acid
155.0,208.0,56.05296,6.0,peoe_vsa.1
206.0,208.0,906.223999,2.0,volume
194.0,208.0,0.4361,3.0,most_positive_charge
61.0,208.0,141.1455,29.0,slogp_vsa7
195.0,208.0,0.1187,2.0,rncg
42.0,208.0,0.0,35.0,vsa_acc
206.0,208.0,56.686199,2.0,dpsa3
206.0,208.0,41.8162,2.0,ppsa3
146.0,208.0,0.0,47.0,sadh2
198.0,208.0,0.3663,2.0,fnsa1
120.0,208.0,0.0125,7.0,tcnp
198.0,208.0,1.1836,2.0,ovality
204.0,208.0,31.4377,2.0,polar_area
200.0,208.0,0.0612,2.0,psa_npsa
206.0,208.0,22.5336,2.0,wpsa3
206.0,208.0,-8.0243,2.0,scaa2
186.0,208.0,0.0,21.0,wncs
191.0,208.0,180.167,3.0,weight
164.0,208.0,8.936826,5.0,peoe_vsa.0
42.0,208.0,0.0,46.0,smr_vsa0
11.0,208.0,0.0,155.0,slogp_vsa6
41.0,208.0,0.0,75.0,slogp_vsa2
206.0,208.0,177.396896,2.0,dpsa1
32.0,208.0,0.0,44.0,chdh3
205.0,208.0,-1.7799,2.0,fnsa2
57.0,208.0,3.124314,21.0,slogp_vsa0
190.0,208.0,230.098175,3.0,mw
155.0,208.0,0.0,47.0,sadh3
196.0,208.0,-0.3822,3.0,chaa2
21.0,208.0,8.619013,48.0,peoe_vsa.6
171.0,208.0,0.0,35.0,adistd
38.0,208.0,-0.0015,16.0,chaa3
206.0,208.0,102.434998,2.0,wpsa1
66.0,208.0,0.0,63.0,peoe_vsa.2
30.0,208.0,0.0,52.0,slogp_vsa3
135.0,208.0,0.0,47.0,scdh3
12.0,208.0,0.0,179.0,peoe_vsa.2.1
158.0,208.0,0.0,44.0,achg
206.0,208.0,-23.834999,2.0,pnsa3
19.0,208.0,0.0,125.0,peoe_vsa.4.1
15.0,208.0,0.0,168.0,peoe_vsa.3.1
160.0,208.0,0.0,47.0,scdh2
206.0,208.0,115.309402,2.0,pnsa1
11.0,208.0,0.0,150.0,peoe_vsa.5
206.0,208.0,538.872925,2.0,surface_area
166.0,208.0,0.0695,3.0,fpsa3
194.0,208.0,-0.5935,4.0,most_negative_charge
70.0,208.0,0.0,58.0,smr_vsa1
206.0,208.0,0.2131,2.0,lumo
148.0,208.0,0.0,44.0,chdh2
160.0,208.0,0.0,47.0,scdh1
112.0,208.0,52.92955,8.0,smr_vsa5
95.0,208.0,0.0,19.0,smr_vsa3
206.0,208.0,507.43521100000004,2.0,nonpolar_area
4.0,208.0,0.0,161.0,vsa_pol
206.0,208.0,-12.6059,2.0,scaa1
75.0,208.0,0.0,25.0,smr_vsa7
7.0,208.0,0.0,125.0,vsa_base
205.0,208.0,-1.1467,2.0,chaa1
12.0,208.0,0.0,191.0,frac.anion7.
206.0,208.0,423.563507,2.0,ppsa1
194.0,208.0,1.35334,3.0,mlogp
114.0,208.0,0.0,18.0,slogp_vsa9
206.0,208.0,446.632599,2.0,ppsa2
74.0,208.0,0.0,40.0,slogp_vsa1
16.0,208.0,0.0,134.0,peoe_vsa.4
