name,pop
Richmond Hill,62985
Bath Beach,29931
Prospect Lefferts Gardens,70300
 Unionport,25768
Mariner's Harbor,27957
 Richmond Valley,18332
Springfield Gardens North,25441
Co,40676
Sheepshead Bay,64596
Turtle Bay,51231
 Little Italy,42742
Windsor Terrace,20779
 Pelham Gardens,28510
 Vinegar Hill,30847
Baisley Park,35729
 Kingsbridge,30161
 Roosevelt Island,76631
Port Richmond,20191
 City Island,27140
 Utopia,17812
Murray Hill,48419
Brownsville,58300
Jackson Heights,113327
 West Maspeth,63271
 Wakefield,42483
 cemetery,436
 Travis,39597
Oakland Gardens,28237
Arden Heights,24996
Rego Park,28260
East New York (Pennsylvania Ave),29343
 Tottenville,23313
 Throgs Neck,44167
 Morris Park,27135
Rossville,18894
 Midland Beach,21896
Park Slope,67649
 Red Hook,38353
 Little Neck,24356
Glen Oaks,22426
Chinatown,47844
Morningside Heights,55929
 Wingate,70300
 Melrose,29797
 Wakefield,43583
 cemetery,540
Madison,38917
 Little Neck,24739
 Heartland Villg,30714
University Heights,54335
park,1662
Glen Oaks,22571
Yorkville,76768
Washington Heights South,93671
 Port Morris,52413
 Woodrow,20763
Sunset Park East,72340
 Op City,43752
 Sunnyside,63271
Stuyvesant Town,19101
 Fordham North,55329
 Bergen Beach,42940
Flushing,69362
Spuyten Duyvil,30161
Laurelton,24453
 Heartland Villg,30762
 Brookville,18950
Hunters Point,61947
 Flat Iron,70150
 Riverdale,28013
Ozone Park,21052
Eastchester,34517
Ft. Totten,21751
Mott Haven,49030
Kingsbridge Heights,32496
 Little Italy,36757
Chinatown,52375
Gramercy,26184
 Oakwood Beach,22266
Clinton Hill,33292
Springfield Gardens South,18950
 Midtown South,28630
Elmhurst,88427
Annadale,26376
Co,43752
 Remsen Village,55326
Flatbush,110875
Glendale,31071
Melrose South,33195
East Village,44136
Upper East Side,61207
Soundview,35137
Yorkville,77942
West Farms,35011
Belmont,25967
 Concourse Village,62284
 Gerritsen Beach,64518
Starrett City,14621
Grymes Hill,22460
Soundview,35634
Jamaica,51849
Old Town,23017
Queensbridge,20030
 etc,436
Brooklyn Heights,22887
 Howard Beach,26148
Bushwick South,72101
Midwood,55440
Astoria,89122
 Woodrow,18894
Laurelton,26375
 Castle Hill,53686
 Brookville,20132
 etc,1662
Upper West Side,136954
SoHo,36757
Rego Park,29404
Cypress Hills,48961
 cemetery,1785
 South Beach,24835
Claremont,31078
Schuylerville,44167
 Bayswater,48344
Bay Ridge,80539
Cambria Heights,20944
West Concourse,39282
 Bathgate,28149
 New Hyde Park,22426
Morrisania,37865
Woodlawn,42483
East Harlem North,57148
Maspeth,28916
 Edenwald,35422
Fort Greene,28335
 Manhattn Bch,64596
Lindenwood,26148
Carroll Gardens,38353
 Manhattn Bch,64518
Gravesend,29436
Soundview,50753
 Tottenville,18332
Hollis,20747
 Graniteville,31474
 Huguenot,27770
 Rockwy Prk,26711
 Fox Hills,22460
Parkchester,29821
 Morris Heights,54188
Bellerose,24464
Queens Village,57704
Cambria Heights,18677
New Brighton,16784
Ocean Parkway South,20556
Hunters Point,63271
East New York (Pennsylvania Ave),27624
Fordham South,28262
Highbridge,37727
Mariner's Harbor,31474
 Oakwood Beach,22049
West Village,68483
New Springville,39309
 TriBeCa,42742
Williamsburg,32269
Midtown,28630
Whitestone,31356
 Chelsea,70150
 Flushing Heights,31734
Ozone Park,21376
St. Albans,48593
Crown Heights South,39670
Hunts Point,27204
park,1849
 Broad Chnl,26711
 Mott Haven North,33195
 Richmond Valley,23313
 etc,1849
Old Astoria,28847
park,418
South Ozone Park,75878
Old Astoria,27814
Soundview,53686
Fordham South,26880
Van Nest,29250
Flatlands,66726
Battery Park City,39699
West Brighton,17370
 cemetery,1662
Hammels,31645
East Concourse,58961
 Westchester Square,27135
Pelham Bay,27140
Far Rockaway,50058
 Jamaica Hills,39138
Dyker Heights,42419
East Flushing,26982
Rosedale,25502
 Vinegar Hill,34495
Norwood,40494
 Fordham North,54415
 South Side,40130
Sunset Park West,52312
 Rockwy Prk,28018
 cemetery,1906
East Concourse,62284
University Heights,54188
Briarwood,38675
 Clearview,22731
 City Island,26583
Melrose South,39214
Marble Hill,46746
 East Midtown,49737
Bensonhurst East,62978
 etc,1906
 Country Club,27140
 Belle Harbor,28018
Middle Village,37929
Lenox Hill,80771
Upper East Side,63664
Airport,0
 Arrochar,16079
Bayside,44371
East Williamsburg,31878
park,540
Corona,57658
 Jamaica Hills,38675
 Carnegie Hill,63664
Clinton,40595
Flatlands,64762
Queensboro Hill,19309
 Belle Harbor,26711
 Staten Island,7
 Columbia Street,38353
 Ft. Wadsworth,16079
Greenpoint,34719
 Port Ivory,31474
Prospect Lefferts Gardens,67459
 Holliswood,25480
Kew Gardens Hills,37479
Kew Gardens Hills,36052
 Bay Terrace,21751
 Utopia,17373
 Bronx,540
 Remsen Village,57934
 East Midtown,51231
 Howard Beach,28121
 Hillcrest,34034
 Unionport,27248
Ridgewood,69317
Seagate,31965
Sheepshead Bay,64518
Washington Heights North,73457
Briarwood,39138
 Brooklyn,93
Charleston,23313
 Bayside Hills,43808
Astoria,78793
Arden Heights,25238
 Baychester,34517
Grymes Hill,19834
Kingsbridge Heights,33286
 Emersn Hill,30714
 Concourse Village,58961
 Clason Point,53686
