ALL,PHONE,EMAIL,OCCUPATION
7982,5542,2268,"Dance, Musician, Music"
8009,5345,2334,Photography
8059,5916,2195,"Manager, Plant Manager"
8211,6082,2056,Interior Designer
8591,5924,2262,Researcher
8633,5419,2312,Baker
8920,6392,2459,Editor
9084,6430,2625,"Engineer, Electronic"
9418,7050,2313,Geologist
9510,7209,2866,Chemist
9686,6471,2683,Auto Mechanic
10357,7257,2526,Optometrist
11059,7836,3313,Legal Secretary
11134,8352,2797,"Archivist, Librarian"
14630,9320,4151,"Investigator, Detective"
15261,10327,4303,Press Operator
15845,10532,3931,"Landscaper, Gardener"
17335,11441,4940,"Assistant, Legal"
18373,10954,5112,Medical Secretary
18926,13286,5590,Medical Technician
19140,12301,5936,Banker
19469,13285,5429,Optician
20277,13228,5909,"Medical, Paramedic"
21043,13480,6142,"Bus Driver, Driver"
22811,16295,5607,Surveyor
23787,14861,6568,"Import, Custom, Shipping"
24768,19548,6184,Professor
25097,16565,7141,"X-ray, Technician"
25571,18518,8043,Computer Programmer
26537,19398,7934,Firefighter
30459,18751,8111,Medical Assistant
31859,20925,8686,"Trooper, Police"
32839,19800,7454,"Maid, Housekeeper"
39659,24155,9589,Chiropractor
41444,26616,10211,Welder
42126,30048,12519,"Sales Manager, Manager"
43859,29058,12065,"Teller, Bank Teller"
44258,30328,13282,Lab
47372,30070,10301,Veterinarian
56651,38777,15235,Machinist
58078,44084,16021,Pastor
58578,40627,16169,Bookkeeper
67465,40366,17832,Dental Assistant
68945,46799,19134,Therapist
70247,40371,19606,Nurse
75359,44031,22157,Cashier
88626,61034,25336,Appraiser
90047,58143,22641,"Truck Driver, Driver"
107519,70946,26110,Plumber
109197,75587,27502,Dental Hygienist
111699,70445,30208,Psychologist
115610,77503,34553,Technician
150399,95307,49473,Army Credit Union Trades
168562,116581,43142,Dentist
189399,130533,50056,Electrician
193890,95904,58247,Security
240457,157024,65002,Mechanic
269477,175711,65344,Pilot
271048,179330,69684,Social Worker
278878,187396,70644,"Therapists, Physical"
297600,196855,74119,Construction
323188,221279,89315,Pharmacy
358047,270323,99511,Teacher
362136,266498,91464,"Attorney, Lawyer, Legal"
442504,233724,132211,"Nurses Aide, Orderly"
492778,310678,145568,Nurse
518782,381961,135264,Engineer
602945,419233,206784,"Manager, Marketing Manager"
627895,423018,155423,"Physician, Medical Doctor"
631103,502191,112994,"Dairyman, Farmer"
933489,655004,308384,Clerk
1069332,635772,276644,Cosmetologist
1119009,729472,325327,"Agent, Insurance"
1461924,885050,536957,"Stock, Broker"
2409498,1423065,716736,Laborer
3139173,2032183,997629,Nurse (Registered)
