OCCUPATION,ALL,PHONE,EMAIL
Stock,1461924,885050,536957
Medical,20277,13228,5909
Attorney,362136,266498,91464
Chiropractor,39659,24155,9589
Banker,19140,12301,5936
Nurses Aide,442504,233724,132211
X-ray,25097,16565,7141
Computer Programmer,25571,18518,8043
Construction,297600,196855,74119
Dental Hygienist,109197,75587,27502
Engineer,9084,6430,2625
Welder,41444,26616,10211
Dentist,168562,116581,43142
Auto Mechanic,9686,6471,2683
Import,23787,14861,6568
Optometrist,10357,7257,2526
Cashier,75359,44031,22157
Surveyor,22811,16295,5607
Truck Driver,90047,58143,22641
Technician,25097,16565,7141
Dairyman,631103,502191,112994
Farmer,631103,502191,112994
Sales Manager,42126,30048,12519
Technician,115610,77503,34553
Maid,32839,19800,7454
Medical Assistant,30459,18751,8111
Editor,8920,6392,2459
Orderly,442504,233724,132211
Manager,8059,5916,2195
Investigator,14630,9320,4151
Housekeeper,32839,19800,7454
Assistant,17335,11441,4940
Army Credit Union Trades,150399,95307,49473
Nurse (Registered),3139173,2032183,997629
Psychologist,111699,70445,30208
Landscaper,15845,10532,3931
Broker,1461924,885050,536957
Therapist,68945,46799,19134
Driver,90047,58143,22641
Manager,602945,419233,206784
Physician,627895,423018,155423
Firefighter,26537,19398,7934
Electrician,189399,130533,50056
Trooper,31859,20925,8686
Custom,23787,14861,6568
Teacher,358047,270323,99511
Archivist,11134,8352,2797
Photography,8009,5345,2334
Interior Designer,8211,6082,2056
Dance,7982,5542,2268
Baker,8633,5419,2312
Optician,19469,13285,5429
Musician,7982,5542,2268
Legal,17335,11441,4940
Marketing Manager,602945,419233,206784
Teller,43859,29058,12065
Bus Driver,21043,13480,6142
Pastor,58078,44084,16021
Agent,1119009,729472,325327
Police,31859,20925,8686
Press Operator,15261,10327,4303
Legal Secretary,11059,7836,3313
Mechanic,240457,157024,65002
Librarian,11134,8352,2797
Bank Teller,43859,29058,12065
Electronic,9084,6430,2625
Nurse,70247,40371,19606
Lawyer,362136,266498,91464
Insurance,1119009,729472,325327
Bookkeeper,58578,40627,16169
Lab,44258,30328,13282
Driver,21043,13480,6142
Social Worker,271048,179330,69684
Music,7982,5542,2268
Shipping,23787,14861,6568
Plumber,107519,70946,26110
Pharmacy,323188,221279,89315
Veterinarian,47372,30070,10301
Medical Technician,18926,13286,5590
Machinist,56651,38777,15235
Gardener,15845,10532,3931
Professor,24768,19548,6184
Engineer,518782,381961,135264
Paramedic,20277,13228,5909
Nurse,492778,310678,145568
Legal,362136,266498,91464
Clerk,933489,655004,308384
Dental Assistant,67465,40366,17832
Manager,42126,30048,12519
Plant Manager,8059,5916,2195
Therapists,278878,187396,70644
Cosmetologist,1069332,635772,276644
Geologist,9418,7050,2313
Appraiser,88626,61034,25336
Pilot,269477,175711,65344
Security,193890,95904,58247
Medical Doctor,627895,423018,155423
Chemist,9510,7209,2866
Laborer,2409498,1423065,716736
Medical Secretary,18373,10954,5112
Researcher,8591,5924,2262
Physical,278878,187396,70644
Detective,14630,9320,4151
